lga_id,year,gender,population
13,2020,Male,291049
13,2020,Female,283974
18,2020,Male,120514
18,2020,Female,115961
2,2020,Male,133404
2,2020,Female,126623
9,2020,Male,222195
9,2020,Female,219541
15,2020,Male,88392
15,2020,Female,85441
20,2020,Male,150608
20,2020,Female,144158
6,2020,Male,125994
6,2020,Female,119811
12,2020,Male,76987
12,2020,Female,73113
17,2020,Male,124421
17,2020,Female,121814
8,2020,Male,340723
8,2020,Female,329158
3,2020,Male,164484
3,2020,Female,156956
16,2020,Male,236554
16,2020,Female,233254
11,2020,Male,114810
11,2020,Female,115829
10,2020,Male,120479
10,2020,Female,121115
4,2020,Male,184226
4,2020,Female,178472
19,2020,Male,179790
19,2020,Female,167296
14,2020,Male,95722
14,2020,Female,99984
1,2020,Male,110891
1,2020,Female,102335
7,2020,Male,132103
7,2020,Female,136426
21,2020,Male,144853
21,2020,Female,141978
5,2020,Male,133188
5,2020,Female,128235
