school_id,timestamp,gender,population
21,04-01-2024,Male,3
21,04-01-2024,Female,38
14,04-01-2024,Male,8
14,04-01-2024,Female,26
12,04-01-2024,Male,5
12,04-01-2024,Female,20
1,04-01-2024,Male,4
1,04-01-2024,Female,20
15,04-01-2024,Male,4
15,04-01-2024,Female,14
19,04-01-2024,Male,4
19,04-01-2024,Female,17
11,04-01-2024,Male,3
11,04-01-2024,Female,14
17,04-01-2024,Male,1
17,04-01-2024,Female,13
8,04-01-2024,Male,2
8,04-01-2024,Female,18
20,04-01-2024,Male,4
20,04-01-2024,Female,9
16,04-01-2024,Male,19
16,04-01-2024,Female,18
18,04-01-2024,Male,3
18,04-01-2024,Female,18
9,04-01-2024,Male,2
9,04-01-2024,Female,20
10,04-01-2024,Male,8
10,04-01-2024,Female,9
7,04-01-2024,Male,3
7,04-01-2024,Female,22
5,04-01-2024,Male,3
5,04-01-2024,Female,15
6,04-01-2024,Male,1
6,04-01-2024,Female,18
2,04-01-2024,Male,2
2,04-01-2024,Female,17
4,04-01-2024,Male,8
4,04-01-2024,Female,27
3,04-01-2024,Male,2
3,04-01-2024,Female,12
13,04-01-2024,Male,3
13,04-01-2024,Female,18
920,04-01-2024,Male,9
920,04-01-2024,Female,23
924,04-01-2024,Male,2
924,04-01-2024,Female,18
926,04-01-2024,Male,2
926,04-01-2024,Female,37
925,04-01-2024,Male,1
925,04-01-2024,Female,14
918,04-01-2024,Male,2
918,04-01-2024,Female,15
927,04-01-2024,Male,3
927,04-01-2024,Female,7
923,04-01-2024,Male,3
923,04-01-2024,Female,9
929,04-01-2024,Male,5
929,04-01-2024,Female,17
921,04-01-2024,Male,5
921,04-01-2024,Female,14
916,04-01-2024,Male,1
916,04-01-2024,Female,11
919,04-01-2024,Male,3
919,04-01-2024,Female,17
928,04-01-2024,Male,3
928,04-01-2024,Female,16
922,04-01-2024,Male,3
922,04-01-2024,Female,8
917,04-01-2024,Male,2
917,04-01-2024,Female,6
930,04-01-2024,Male,3
930,04-01-2024,Female,8
931,04-01-2024,Male,1
931,04-01-2024,Female,7
947,04-01-2024,Male,2
947,04-01-2024,Female,23
950,04-01-2024,Male,2
950,04-01-2024,Female,19
955,04-01-2024,Male,19
955,04-01-2024,Female,18
952,04-01-2024,Male,4
952,04-01-2024,Female,14
949,04-01-2024,Male,6
949,04-01-2024,Female,15
956,04-01-2024,Male,6
956,04-01-2024,Female,18
960,04-01-2024,Male,3
960,04-01-2024,Female,10
957,04-01-2024,Male,3
957,04-01-2024,Female,15
954,04-01-2024,Male,2
954,04-01-2024,Female,6
958,04-01-2024,Male,1
958,04-01-2024,Female,9
953,04-01-2024,Male,7
953,04-01-2024,Female,7
951,04-01-2024,Male,3
951,04-01-2024,Female,18
959,04-01-2024,Male,3
959,04-01-2024,Female,13
948,04-01-2024,Male,4
948,04-01-2024,Female,14
1034,04-01-2024,Male,4
1034,04-01-2024,Female,8
129,04-01-2024,Male,3
129,04-01-2024,Female,19
124,04-01-2024,Male,3
124,04-01-2024,Female,24
126,04-01-2024,Male,3
126,04-01-2024,Female,19
123,04-01-2024,Male,1
123,04-01-2024,Female,20
122,04-01-2024,Male,1
122,04-01-2024,Female,16
119,04-01-2024,Male,5
119,04-01-2024,Female,9
116,04-01-2024,Male,22
116,04-01-2024,Female,26
121,04-01-2024,Male,6
121,04-01-2024,Female,23
127,04-01-2024,Male,1
127,04-01-2024,Female,19
130,04-01-2024,Male,2
130,04-01-2024,Female,19
118,04-01-2024,Male,6
118,04-01-2024,Female,18
117,04-01-2024,Male,1
117,04-01-2024,Female,12
115,04-01-2024,Male,1
115,04-01-2024,Female,11
125,04-01-2024,Male,0
125,04-01-2024,Female,16
120,04-01-2024,Male,3
120,04-01-2024,Female,11
128,04-01-2024,Male,2
128,04-01-2024,Female,12
142,04-01-2024,Male,6
142,04-01-2024,Female,34
146,04-01-2024,Male,4
146,04-01-2024,Female,24
145,04-01-2024,Male,4
145,04-01-2024,Female,9
147,04-01-2024,Male,4
147,04-01-2024,Female,19
141,04-01-2024,Male,1
141,04-01-2024,Female,12
143,04-01-2024,Male,0
143,04-01-2024,Female,0
148,04-01-2024,Male,2
148,04-01-2024,Female,18
1035,04-01-2024,Male,2
1035,04-01-2024,Female,5
1036,04-01-2024,Male,5
1036,04-01-2024,Female,1
144,04-01-2024,Male,4
144,04-01-2024,Female,9
178,04-01-2024,Male,6
178,04-01-2024,Female,52
175,04-01-2024,Male,7
175,04-01-2024,Female,43
173,04-01-2024,Male,2
173,04-01-2024,Female,49
169,04-01-2024,Male,5
169,04-01-2024,Female,42
163,04-01-2024,Male,3
163,04-01-2024,Female,41
176,04-01-2024,Male,2
176,04-01-2024,Female,38
172,04-01-2024,Male,3
172,04-01-2024,Female,18
168,04-01-2024,Male,2
168,04-01-2024,Female,57
177,04-01-2024,Male,1
177,04-01-2024,Female,17
167,04-01-2024,Male,4
167,04-01-2024,Female,19
170,04-01-2024,Male,2
170,04-01-2024,Female,23
164,04-01-2024,Male,3
164,04-01-2024,Female,28
165,04-01-2024,Male,7
165,04-01-2024,Female,29
181,04-01-2024,Male,3
181,04-01-2024,Female,13
180,04-01-2024,Male,5
180,04-01-2024,Female,18
171,04-01-2024,Male,2
171,04-01-2024,Female,17
174,04-01-2024,Male,2
174,04-01-2024,Female,13
166,04-01-2024,Male,0
166,04-01-2024,Female,13
179,04-01-2024,Male,3
179,04-01-2024,Female,28
276,04-01-2024,Male,4
276,04-01-2024,Female,29
277,04-01-2024,Male,2
277,04-01-2024,Female,20
270,04-01-2024,Male,4
270,04-01-2024,Female,24
274,04-01-2024,Male,7
274,04-01-2024,Female,20
272,04-01-2024,Male,2
272,04-01-2024,Female,21
273,04-01-2024,Male,2
273,04-01-2024,Female,13
275,04-01-2024,Male,6
275,04-01-2024,Female,23
271,04-01-2024,Male,3
271,04-01-2024,Female,8
570,04-01-2024,Male,13
570,04-01-2024,Female,31
571,04-01-2024,Male,4
571,04-01-2024,Female,20
575,04-01-2024,Male,12
575,04-01-2024,Female,21
573,04-01-2024,Male,11
573,04-01-2024,Female,13
577,04-01-2024,Male,2
577,04-01-2024,Female,21
567,04-01-2024,Male,5
567,04-01-2024,Female,11
568,04-01-2024,Male,1
