lga_id,school_id,school_name,school_type,category,lat,long
13,1,AGUATA HIGH SCH.AGUATA,PUBLIC,Secondary,,
13,2,CHRIST THE REDEEMER COLLEGE  AMESI,PUBLIC,Secondary,,
13,3,COMM SEC. SCH. (BSS) EZINIFITE,PUBLIC,Secondary,,
13,4,COMM SEC. SCH. (BSS) IGBOUKWU,PUBLIC,Secondary,,
13,5,COMM SEC. SCH. AGULUEZECHUKWU,PUBLIC,Secondary,,
13,6,COMM SEC. SCH. AKPO,PUBLIC,Secondary,,
13,7,COMM SEC. SCH. ORAERI,PUBLIC,Secondary,,
13,8,COMM SEC.SCH. UMUCHU,PUBLIC,Secondary,,
13,9,COMM. SEC. SCH. ACHINA,PUBLIC,Secondary,,
13,10,COMM. SEC. SCH. NKPOLOGWU,PUBLIC,Secondary,,
13,11,COMM. SEC. SCH. UGA,PUBLIC,Secondary,,
13,12,COMM.SEC. SCH. ISUOFIA,PUBLIC,Secondary,,
13,13,EZINIFITE HIGH SCHOOL EZINIFITE,PUBLIC,Secondary,,
13,14,GIRLS' .SEC. SCH. IGBOUKWU,PUBLIC,Secondary,,
13,15,GIRLS' HIGH SCHOOL UGA,PUBLIC,Secondary,,
13,16,GOVT. TECH. COLL. UMUCHU,PUBLIC,Secondary,,
13,17,PIONEER SEC. SCH. (GSS) UMUCHU,PUBLIC,Secondary,,
13,18,ST. PETER'S SEC. SCH. ACHINA,PUBLIC,Secondary,,
13,19,UGA BOYS' SEC. SCH UGA,PUBLIC,Secondary,,
13,20,UMUCHU HIGH. SCH. UMUCHU,PUBLIC,Secondary,,
13,21,URBAN GIRLS'.SEC.SCH. EKWULOBIA,PUBLIC,Secondary,,
13,22,NEW GENERATION SECONDARY SCHOOL,PRIVATE,Secondary,,
13,23,ALL SAINTS SEMINARY SCHOOL,PRIVATE,Secondary,,
13,24,ALPHA COMPREHENSIVE SECONDARY SCHOOL,PRIVATE,Secondary,,
13,25,CHRIST THE KING SECONDARY SCHOOL,PRIVATE,Secondary,,
13,26,COMPREHENSIVE SECONDARY SCHOOL,PRIVATE,Secondary,,
13,27,CONCEPTS SECONDARY SCHOOL,PRIVATE,Secondary,,
13,28,DE-LIGHT INT’L SECONDARY SCHOOL,PRIVATE,Secondary,,
13,29,EXCELLENT PONDGE INT'L SECONDARY SCHOOL,PRIVATE,Secondary,,
13,30,FIRST HILL SECONDARY SCHOOL,PRIVATE,Secondary,,
13,31,FUTURE HOPE SECONDARY SCHOOL,PRIVATE,Secondary,,
13,32,GOD’S OWN SECONDARY SCHOOL,PRIVATE,Secondary,,
13,33,GOODNESS COMPREHENSIVE SECONDARY  SCHOOL,PRIVATE,Secondary,,
13,34,HOLY CHILD SECONDARY SCHOOL,PRIVATE,Secondary,,
13,35,HOLY FAMILY SECONDARY SCHOOL,PRIVATE,Secondary,,
13,36,HOLY NAME SECONDARY SCHOOL,PRIVATE,Secondary,,
13,37,IMMACULATE HEART SECONDARY SCHOOL,PRIVATE,Secondary,,
13,38,IMMUNUAL MODEL SECONDARY SCHOOL,PRIVATE,Secondary,,
13,39,KONIGIN DES FRIENDINS COLLEGE,PRIVATE,Secondary,,
13,40,LORD'S LIVINGSTONE MODEL SECONDARY SCHOOL,PRIVATE,Secondary,,
13,41,MADONNA SECONDARY SCHOOL,PRIVATE,Secondary,,
13,42,MADUKA MEMORIAL COLLEGE,PRIVATE,Secondary,,
13,43,MODEL COMPREHENSIVE SECONDARY SCHOOL,PRIVATE,Secondary,,
13,44,MOTHER OF CHRIST SECONDARY SCHOOL,PRIVATE,Secondary,,
13,45,NEW ERA COMPREHENSIVE SECONDARY SCHOOL,PRIVATE,Secondary,,
13,46,OUR LADY’S COMPREHENSIVE COLLEGE,PRIVATE,Secondary,,
13,47,PREMIER COMPREHENSIVE SECONDARY  SCHOOL,PRIVATE,Secondary,,
13,48,ROYAL BRAINS SECONDARY SCHOOL,PRIVATE,Secondary,,
13,49,ST. ANTHONY'S SECONDARY SCHOOL,PRIVATE,Secondary,,
13,50,ST. AUGUSTINE MODEL SECONDARY SCHOOL,PRIVATE,Secondary,,
13,51,ST. FRANCIS SECONDARY SCHOOL,PRIVATE,Secondary,,
13,52,ST. PAUL’S ACADEMY,PRIVATE,Secondary,,
13,53,STANDARD INSTITUTE OF SECRETARIAL STUDIES,PRIVATE,Secondary,,
13,54,UNIQUE SECONDARY SCHOOL,PRIVATE,Secondary,,
13,55,UNITY COMPREHENSIVE SECONDARY,PRIVATE,Secondary,,
13,56,URBAN COMPREHENSIVE SCHOOL,PRIVATE,Secondary,,
18,57,CHS  NSUGBE,PUBLIC,Secondary,,
18,58,CHS IGBARIAM,PUBLIC,Secondary,,
18,59,CMASS ENUGU-OTU,PUBLIC,Secondary,,
18,60,CSS IFITE UMUERI,PUBLIC,Secondary,,
18,61,CSS NANDO,PUBLIC,Secondary,,
18,62,CSS UMUOBA ANAM,PUBLIC,Secondary,,
18,63,FR. JMHS AGULERI,PUBLIC,Secondary,,
18,64,GTC UMUERI,PUBLIC,Secondary,,
18,65,JCMSS AGULERI,PUBLIC,Secondary,,
18,66,SMC UMUERI,PUBLIC,Secondary,,
18,67,WOSS ENUGWU AGULERI,PUBLIC,Secondary,,
