school_id,timestamp,gender,population
21,07-01-2024,Male,3
21,07-01-2024,Female,38
14,07-01-2024,Male,8
14,07-01-2024,Female,26
12,07-01-2024,Male,5
12,07-01-2024,Female,20
1,07-01-2024,Male,4
1,07-01-2024,Female,20
15,07-01-2024,Male,4
15,07-01-2024,Female,14
19,07-01-2024,Male,4
19,07-01-2024,Female,17
11,07-01-2024,Male,3
11,07-01-2024,Female,14
17,07-01-2024,Male,1
17,07-01-2024,Female,13
8,07-01-2024,Male,2
8,07-01-2024,Female,18
20,07-01-2024,Male,4
20,07-01-2024,Female,9
16,07-01-2024,Male,19
16,07-01-2024,Female,18
18,07-01-2024,Male,3
18,07-01-2024,Female,18
9,07-01-2024,Male,2
9,07-01-2024,Female,20
10,07-01-2024,Male,8
10,07-01-2024,Female,9
7,07-01-2024,Male,3
7,07-01-2024,Female,22
5,07-01-2024,Male,3
5,07-01-2024,Female,15
6,07-01-2024,Male,1
6,07-01-2024,Female,18
2,07-01-2024,Male,2
2,07-01-2024,Female,17
4,07-01-2024,Male,8
4,07-01-2024,Female,27
3,07-01-2024,Male,2
3,07-01-2024,Female,12
13,07-01-2024,Male,3
13,07-01-2024,Female,18
920,07-01-2024,Male,9
920,07-01-2024,Female,23
924,07-01-2024,Male,2
924,07-01-2024,Female,18
926,07-01-2024,Male,2
926,07-01-2024,Female,37
925,07-01-2024,Male,1
925,07-01-2024,Female,14
918,07-01-2024,Male,2
918,07-01-2024,Female,15
927,07-01-2024,Male,3
927,07-01-2024,Female,7
923,07-01-2024,Male,3
923,07-01-2024,Female,9
929,07-01-2024,Male,5
929,07-01-2024,Female,17
921,07-01-2024,Male,5
921,07-01-2024,Female,14
916,07-01-2024,Male,1
916,07-01-2024,Female,11
919,07-01-2024,Male,3
919,07-01-2024,Female,17
928,07-01-2024,Male,3
928,07-01-2024,Female,16
922,07-01-2024,Male,3
922,07-01-2024,Female,8
917,07-01-2024,Male,2
917,07-01-2024,Female,6
930,07-01-2024,Male,3
930,07-01-2024,Female,8
931,07-01-2024,Male,1
931,07-01-2024,Female,7
947,07-01-2024,Male,2
947,07-01-2024,Female,23
950,07-01-2024,Male,2
950,07-01-2024,Female,19
955,07-01-2024,Male,19
955,07-01-2024,Female,18
952,07-01-2024,Male,4
952,07-01-2024,Female,14
949,07-01-2024,Male,6
949,07-01-2024,Female,15
956,07-01-2024,Male,6
956,07-01-2024,Female,18
960,07-01-2024,Male,3
960,07-01-2024,Female,10
957,07-01-2024,Male,3
957,07-01-2024,Female,15
954,07-01-2024,Male,2
954,07-01-2024,Female,6
958,07-01-2024,Male,1
958,07-01-2024,Female,9
953,07-01-2024,Male,7
953,07-01-2024,Female,7
951,07-01-2024,Male,3
951,07-01-2024,Female,18
959,07-01-2024,Male,3
959,07-01-2024,Female,13
948,07-01-2024,Male,4
948,07-01-2024,Female,14
1034,07-01-2024,Male,4
1034,07-01-2024,Female,8
129,07-01-2024,Male,3
129,07-01-2024,Female,19
124,07-01-2024,Male,3
124,07-01-2024,Female,24
126,07-01-2024,Male,3
126,07-01-2024,Female,19
123,07-01-2024,Male,1
123,07-01-2024,Female,20
122,07-01-2024,Male,1
122,07-01-2024,Female,16
119,07-01-2024,Male,5
119,07-01-2024,Female,9
116,07-01-2024,Male,22
116,07-01-2024,Female,26
121,07-01-2024,Male,6
121,07-01-2024,Female,23
127,07-01-2024,Male,1
127,07-01-2024,Female,19
130,07-01-2024,Male,2
130,07-01-2024,Female,19
118,07-01-2024,Male,6
118,07-01-2024,Female,18
117,07-01-2024,Male,1
117,07-01-2024,Female,12
115,07-01-2024,Male,1
115,07-01-2024,Female,11
125,07-01-2024,Male,0
125,07-01-2024,Female,16
120,07-01-2024,Male,3
120,07-01-2024,Female,11
128,07-01-2024,Male,2
128,07-01-2024,Female,12
142,07-01-2024,Male,6
142,07-01-2024,Female,34
146,07-01-2024,Male,4
146,07-01-2024,Female,24
145,07-01-2024,Male,4
145,07-01-2024,Female,9
147,07-01-2024,Male,4
147,07-01-2024,Female,19
141,07-01-2024,Male,1
141,07-01-2024,Female,12
143,07-01-2024,Male,0
143,07-01-2024,Female,0
148,07-01-2024,Male,2
148,07-01-2024,Female,18
1035,07-01-2024,Male,2
1035,07-01-2024,Female,5
1036,07-01-2024,Male,5
1036,07-01-2024,Female,1
144,07-01-2024,Male,4
144,07-01-2024,Female,9
178,07-01-2024,Male,6
178,07-01-2024,Female,52
175,07-01-2024,Male,7
175,07-01-2024,Female,43
173,07-01-2024,Male,2
173,07-01-2024,Female,49
169,07-01-2024,Male,5
169,07-01-2024,Female,42
163,07-01-2024,Male,3
163,07-01-2024,Female,41
176,07-01-2024,Male,2
176,07-01-2024,Female,38
172,07-01-2024,Male,3
172,07-01-2024,Female,18
168,07-01-2024,Male,2
168,07-01-2024,Female,57
177,07-01-2024,Male,1
177,07-01-2024,Female,17
167,07-01-2024,Male,4
167,07-01-2024,Female,19
170,07-01-2024,Male,2
170,07-01-2024,Female,23
164,07-01-2024,Male,3
164,07-01-2024,Female,28
165,07-01-2024,Male,7
165,07-01-2024,Female,29
181,07-01-2024,Male,3
181,07-01-2024,Female,13
180,07-01-2024,Male,5
180,07-01-2024,Female,18
171,07-01-2024,Male,2
171,07-01-2024,Female,17
174,07-01-2024,Male,2
174,07-01-2024,Female,13
166,07-01-2024,Male,0
166,07-01-2024,Female,13
179,07-01-2024,Male,3
179,07-01-2024,Female,28
276,07-01-2024,Male,4
276,07-01-2024,Female,29
277,07-01-2024,Male,2
277,07-01-2024,Female,20
270,07-01-2024,Male,4
270,07-01-2024,Female,24
274,07-01-2024,Male,7
274,07-01-2024,Female,20
272,07-01-2024,Male,2
272,07-01-2024,Female,21
273,07-01-2024,Male,2
273,07-01-2024,Female,13
275,07-01-2024,Male,6
275,07-01-2024,Female,23
271,07-01-2024,Male,3
271,07-01-2024,Female,8
570,07-01-2024,Male,13
570,07-01-2024,Female,31
571,07-01-2024,Male,4
571,07-01-2024,Female,20
575,07-01-2024,Male,12
575,07-01-2024,Female,21
573,07-01-2024,Male,11
573,07-01-2024,Female,13
577,07-01-2024,Male,2
577,07-01-2024,Female,21
567,07-01-2024,Male,5
567,07-01-2024,Female,11
568,07-01-2024,Male,1
568,07-01-2024,Female,16
572,07-01-2024,Male,13
572,07-01-2024,Female,31
569,07-01-2024,Male,5
569,07-01-2024,Female,11
574,07-01-2024,Male,1
574,07-01-2024,Female,16
576,07-01-2024,Male,4
576,07-01-2024,Female,15
593,07-01-2024,Male,1
593,07-01-2024,Female,37
594,07-01-2024,Male,3
594,07-01-2024,Female,35
596,07-01-2024,Male,5
596,07-01-2024,Female,46
595,07-01-2024,Male,7
595,07-01-2024,Female,35
597,07-01-2024,Male,6
597,07-01-2024,Female,36
598,07-01-2024,Male,1
598,07-01-2024,Female,28
592,07-01-2024,Male,1
592,07-01-2024,Female,38
591,07-01-2024,Male,3
591,07-01-2024,Female,26
680,07-01-2024,Male,3
680,07-01-2024,Female,16
671,07-01-2024,Male,1
671,07-01-2024,Female,14
669,07-01-2024,Male,0
669,07-01-2024,Female,17
672,07-01-2024,Male,3
672,07-01-2024,Female,9
673,07-01-2024,Male,2
673,07-01-2024,Female,8
667,07-01-2024,Male,0
667,07-01-2024,Female,6
666,07-01-2024,Male,3
666,07-01-2024,Female,6
677,07-01-2024,Male,1
677,07-01-2024,Female,12
668,07-01-2024,Male,2
668,07-01-2024,Female,11
674,07-01-2024,Male,2
674,07-01-2024,Female,9
679,07-01-2024,Male,0
679,07-01-2024,Female,19
681,07-01-2024,Male,5
681,07-01-2024,Female,4
678,07-01-2024,Male,4
678,07-01-2024,Female,10
682,07-01-2024,Male,1
682,07-01-2024,Female,6
676,07-01-2024,Male,7
676,07-01-2024,Female,12
670,07-01-2024,Male,2
670,07-01-2024,Female,5
675,07-01-2024,Male,1
675,07-01-2024,Female,11
292,07-01-2024,Male,1
292,07-01-2024,Female,32
290,07-01-2024,Male,4
290,07-01-2024,Female,18
286,07-01-2024,Male,4
286,07-01-2024,Female,17
288,07-01-2024,Male,5
288,07-01-2024,Female,30
291,07-01-2024,Male,1
291,07-01-2024,Female,25
287,07-01-2024,Male,5
287,07-01-2024,Female,34
293,07-01-2024,Male,4
293,07-01-2024,Female,19
289,07-01-2024,Male,3
289,07-01-2024,Female,33
504,07-01-2024,Male,1
504,07-01-2024,Female,15
506,07-01-2024,Male,6
506,07-01-2024,Female,15
511,07-01-2024,Male,3
511,07-01-2024,Female,18
500,07-01-2024,Male,8
500,07-01-2024,Female,18
499,07-01-2024,Male,6
499,07-01-2024,Female,19
509,07-01-2024,Male,10
509,07-01-2024,Female,17
513,07-01-2024,Male,4
513,07-01-2024,Female,15
507,07-01-2024,Male,4
507,07-01-2024,Female,9
508,07-01-2024,Male,2
508,07-01-2024,Female,5
512,07-01-2024,Male,8
512,07-01-2024,Female,8
515,07-01-2024,Male,4
515,07-01-2024,Female,13
510,07-01-2024,Male,7
510,07-01-2024,Female,17
505,07-01-2024,Male,1
505,07-01-2024,Female,6
514,07-01-2024,Male,3
514,07-01-2024,Female,13
503,07-01-2024,Male,4
503,07-01-2024,Female,8
501,07-01-2024,Male,5
501,07-01-2024,Female,14
502,07-01-2024,Male,0
502,07-01-2024,Female,0
335,07-01-2024,Male,5
335,07-01-2024,Female,12
323,07-01-2024,Male,5
323,07-01-2024,Female,17
326,07-01-2024,Male,3
326,07-01-2024,Female,22
327,07-01-2024,Male,3
327,07-01-2024,Female,19
333,07-01-2024,Male,13
333,07-01-2024,Female,41
338,07-01-2024,Male,1
338,07-01-2024,Female,62
328,07-01-2024,Male,4
328,07-01-2024,Female,29
337,07-01-2024,Male,4
337,07-01-2024,Female,30
324,07-01-2024,Male,11
324,07-01-2024,Female,34
332,07-01-2024,Male,2
332,07-01-2024,Female,22
329,07-01-2024,Male,0
329,07-01-2024,Female,10
336,07-01-2024,Male,5
336,07-01-2024,Female,19
330,07-01-2024,Male,0
330,07-01-2024,Female,20
334,07-01-2024,Male,4
334,07-01-2024,Female,32
331,07-01-2024,Male,3
331,07-01-2024,Female,21
325,07-01-2024,Male,2
325,07-01-2024,Female,51
477,07-01-2024,Male,6
477,07-01-2024,Female,52
478,07-01-2024,Male,0
478,07-01-2024,Female,0
471,07-01-2024,Male,4
471,07-01-2024,Female,16
472,07-01-2024,Male,1
472,07-01-2024,Female,17
479,07-01-2024,Male,7
479,07-01-2024,Female,16
476,07-01-2024,Male,1
476,07-01-2024,Female,1
469,07-01-2024,Male,1
469,07-01-2024,Female,17
470,07-01-2024,Male,3
470,07-01-2024,Female,17
480,07-01-2024,Male,4
480,07-01-2024,Female,15
473,07-01-2024,Male,4
473,07-01-2024,Female,10
475,07-01-2024,Male,5
475,07-01-2024,Female,28
468,07-01-2024,Male,4
468,07-01-2024,Female,17
474,07-01-2024,Male,1
474,07-01-2024,Female,16
986,07-01-2024,Male,5
986,07-01-2024,Female,5
992,07-01-2024,Male,2
992,07-01-2024,Female,12
988,07-01-2024,Male,2
988,07-01-2024,Female,23
985,07-01-2024,Male,2
985,07-01-2024,Female,59
983,07-01-2024,Male,3
983,07-01-2024,Female,14
989,07-01-2024,Male,4
989,07-01-2024,Female,19
984,07-01-2024,Male,6
984,07-01-2024,Female,43
991,07-01-2024,Male,0
991,07-01-2024,Female,21
990,07-01-2024,Male,1
990,07-01-2024,Female,17
987,07-01-2024,Male,1
987,07-01-2024,Female,12
993,07-01-2024,Male,0
993,07-01-2024,Female,14
792,07-01-2024,Male,7
792,07-01-2024,Female,46
790,07-01-2024,Male,1
790,07-01-2024,Female,51
802,07-01-2024,Male,2
802,07-01-2024,Female,47
789,07-01-2024,Male,2
789,07-01-2024,Female,52
803,07-01-2024,Male,2
803,07-01-2024,Female,49
793,07-01-2024,Male,6
793,07-01-2024,Female,46
797,07-01-2024,Male,3
797,07-01-2024,Female,48
795,07-01-2024,Male,3
795,07-01-2024,Female,47
804,07-01-2024,Male,4
804,07-01-2024,Female,49
800,07-01-2024,Male,3
800,07-01-2024,Female,37
801,07-01-2024,Male,2
801,07-01-2024,Female,48
791,07-01-2024,Male,5
791,07-01-2024,Female,48
796,07-01-2024,Male,2
796,07-01-2024,Female,36
794,07-01-2024,Male,20
794,07-01-2024,Female,37
798,07-01-2024,Male,2
798,07-01-2024,Female,63
799,07-01-2024,Male,4
799,07-01-2024,Female,37
108,07-01-2024,Male,6
108,07-01-2024,Female,48
879,07-01-2024,Male,6
879,07-01-2024,Female,45
878,07-01-2024,Male,3
878,07-01-2024,Female,36
882,07-01-2024,Male,5
882,07-01-2024,Female,41
881,07-01-2024,Male,1
881,07-01-2024,Female,62
880,07-01-2024,Male,1
880,07-01-2024,Female,13
722,07-01-2024,Male,5
722,07-01-2024,Female,16
720,07-01-2024,Male,5
720,07-01-2024,Female,32
723,07-01-2024,Male,1
723,07-01-2024,Female,31
716,07-01-2024,Male,5
716,07-01-2024,Female,16
719,07-01-2024,Male,2
719,07-01-2024,Female,13
717,07-01-2024,Male,2
717,07-01-2024,Female,26
714,07-01-2024,Male,5
714,07-01-2024,Female,18
718,07-01-2024,Male,4
718,07-01-2024,Female,32
721,07-01-2024,Male,7
721,07-01-2024,Female,21
715,07-01-2024,Male,2
715,07-01-2024,Female,11
63,07-01-2024,Male,7
63,07-01-2024,Female,29
62,07-01-2024,Male,5
62,07-01-2024,Female,28
65,07-01-2024,Male,7
65,07-01-2024,Female,29
66,07-01-2024,Male,7
66,07-01-2024,Female,28
60,07-01-2024,Male,10
60,07-01-2024,Female,10
64,07-01-2024,Male,12
64,07-01-2024,Female,18
61,07-01-2024,Male,7
61,07-01-2024,Female,13
58,07-01-2024,Male,7
58,07-01-2024,Female,15
57,07-01-2024,Male,8
57,07-01-2024,Female,31
67,07-01-2024,Male,6
67,07-01-2024,Female,19
59,07-01-2024,Male,7
59,07-01-2024,Female,3
106,07-01-2024,Male,11
106,07-01-2024,Female,17
103,07-01-2024,Male,7
103,07-01-2024,Female,9
100,07-01-2024,Male,4
100,07-01-2024,Female,9
102,07-01-2024,Male,7
102,07-01-2024,Female,5
107,07-01-2024,Male,0
107,07-01-2024,Female,0
101,07-01-2024,Male,9
101,07-01-2024,Female,5
104,07-01-2024,Male,7
104,07-01-2024,Female,3
105,07-01-2024,Male,4
105,07-01-2024,Female,0
256,07-01-2024,Male,10
256,07-01-2024,Female,10
250,07-01-2024,Male,7
250,07-01-2024,Female,15
253,07-01-2024,Male,15
253,07-01-2024,Female,10
252,07-01-2024,Male,2
252,07-01-2024,Female,7
251,07-01-2024,Male,12
251,07-01-2024,Female,14
255,07-01-2024,Male,12
255,07-01-2024,Female,9
257,07-01-2024,Male,2
257,07-01-2024,Female,12
258,07-01-2024,Male,0
258,07-01-2024,Female,0
254,07-01-2024,Male,11
254,07-01-2024,Female,6
