lga_id,year,gender,population
13,2022,Male,309974
13,2022,Female,302439
18,2022,Male,128350
18,2022,Female,123501
2,2022,Male,142079
2,2022,Female,134857
9,2022,Male,236642
9,2022,Female,233817
15,2022,Male,94714
15,2022,Female,90996
20,2022,Male,160401
20,2022,Female,153532
6,2022,Male,134186
6,2022,Female,127602
12,2022,Male,81897
12,2022,Female,77867
17,2022,Male,132511
17,2022,Female,129735
8,2022,Male,362879
8,2022,Female,350561
3,2022,Male,175180
3,2022,Female,167162
16,2022,Male,251936
16,2022,Female,248422
11,2022,Male,122275
11,2022,Female,123361
10,2022,Male,128313
10,2022,Female,128990
4,2022,Male,196205
4,2022,Female,190077
19,2022,Male,191481
19,2022,Female,178174
14,2022,Male,101946
14,2022,Female,106485
1,2022,Male,118102
1,2022,Female,108990
7,2022,Male,140693
7,2022,Female,145297
21,2022,Male,154272
21,2022,Female,151209
5,2022,Male,141849
5,2022,Female,136573
