lga_id,lga_name,zone,AREA_SQ_KM,HIGHLANDS_percent,PLAIN_LANDS_percent
1,ONITSHA SOUTH,ONITSHA,196,20,48
2,ANAMBRA WEST,OTUOCHA,613,15,21
3,IDEMILI SOUTH,OGIDI,145,20,25
4,NNEWI SOUTH,NNEWI,176,34,38
5,OYI,OGIDI,331,10,40
6,AYAMELUM,OTUOCHA,196,40,35
7,ORUMBA NORTH,AGUATA,44,15,47
8,IDEMILI NORTH,OGIDI,66,34,38
9,ANAOCHA,AKWA,109,36,50
10,NNEWI NORTH,NNEWI,128,34,42
11,NJIKOKA,AKWA,81,18,42
12,DUNUKOFIA,AKWA,72,28,40
13,AGUATA,AGUATA,534,0,18
14,ONITSHA NORTH,ONITSHA,305,11,39
15,AWKA NORTH,AKWA,356,20,48
16,IHIALA,NNEWI,310,22,40
17,EKWUSIGO,NNEWI,104,25,44
18,ANAMBRA EAST,OTUOCHA,418,0,12
19,OGBARU,ONITSHA,504,5,30
20,AWKA SOUTH,AKWA,175,0,61
21,ORUMBA SOUTH,AGUATA,24,0,14
