school_id,timestamp,gender,population
21,05-01-2024,Male,3
21,05-01-2024,Female,38
14,05-01-2024,Male,8
14,05-01-2024,Female,26
12,05-01-2024,Male,5
12,05-01-2024,Female,20
1,05-01-2024,Male,4
1,05-01-2024,Female,20
15,05-01-2024,Male,4
15,05-01-2024,Female,14
19,05-01-2024,Male,4
19,05-01-2024,Female,17
11,05-01-2024,Male,3
11,05-01-2024,Female,14
17,05-01-2024,Male,1
17,05-01-2024,Female,13
8,05-01-2024,Male,2
8,05-01-2024,Female,18
20,05-01-2024,Male,4
20,05-01-2024,Female,9
16,05-01-2024,Male,19
16,05-01-2024,Female,18
18,05-01-2024,Male,3
18,05-01-2024,Female,18
9,05-01-2024,Male,2
9,05-01-2024,Female,20
10,05-01-2024,Male,8
10,05-01-2024,Female,9
7,05-01-2024,Male,3
7,05-01-2024,Female,22
5,05-01-2024,Male,3
5,05-01-2024,Female,15
6,05-01-2024,Male,1
6,05-01-2024,Female,18
2,05-01-2024,Male,2
2,05-01-2024,Female,17
4,05-01-2024,Male,8
4,05-01-2024,Female,27
3,05-01-2024,Male,2
3,05-01-2024,Female,12
13,05-01-2024,Male,3
13,05-01-2024,Female,18
920,05-01-2024,Male,9
920,05-01-2024,Female,23
924,05-01-2024,Male,2
924,05-01-2024,Female,18
926,05-01-2024,Male,2
926,05-01-2024,Female,37
925,05-01-2024,Male,1
925,05-01-2024,Female,14
918,05-01-2024,Male,2
918,05-01-2024,Female,15
927,05-01-2024,Male,3
927,05-01-2024,Female,7
923,05-01-2024,Male,3
923,05-01-2024,Female,9
929,05-01-2024,Male,5
929,05-01-2024,Female,17
921,05-01-2024,Male,5
921,05-01-2024,Female,14
916,05-01-2024,Male,1
916,05-01-2024,Female,11
919,05-01-2024,Male,3
919,05-01-2024,Female,17
928,05-01-2024,Male,3
928,05-01-2024,Female,16
922,05-01-2024,Male,3
922,05-01-2024,Female,8
917,05-01-2024,Male,2
917,05-01-2024,Female,6
930,05-01-2024,Male,3
930,05-01-2024,Female,8
931,05-01-2024,Male,1
931,05-01-2024,Female,7
947,05-01-2024,Male,2
947,05-01-2024,Female,23
950,05-01-2024,Male,2
950,05-01-2024,Female,19
955,05-01-2024,Male,19
955,05-01-2024,Female,18
952,05-01-2024,Male,4
952,05-01-2024,Female,14
949,05-01-2024,Male,6
949,05-01-2024,Female,15
956,05-01-2024,Male,6
956,05-01-2024,Female,18
960,05-01-2024,Male,3
960,05-01-2024,Female,10
957,05-01-2024,Male,3
957,05-01-2024,Female,15
954,05-01-2024,Male,2
954,05-01-2024,Female,6
958,05-01-2024,Male,1
958,05-01-2024,Female,9
953,05-01-2024,Male,7
953,05-01-2024,Female,7
951,05-01-2024,Male,3
951,05-01-2024,Female,18
959,05-01-2024,Male,3
959,05-01-2024,Female,13
948,05-01-2024,Male,4
948,05-01-2024,Female,14
1034,05-01-2024,Male,4
1034,05-01-2024,Female,8
129,05-01-2024,Male,3
129,05-01-2024,Female,19
124,05-01-2024,Male,3
124,05-01-2024,Female,24
126,05-01-2024,Male,3
126,05-01-2024,Female,19
123,05-01-2024,Male,1
123,05-01-2024,Female,20
122,05-01-2024,Male,1
122,05-01-2024,Female,16
119,05-01-2024,Male,5
119,05-01-2024,Female,9
116,05-01-2024,Male,22
116,05-01-2024,Female,26
121,05-01-2024,Male,6
121,05-01-2024,Female,23
127,05-01-2024,Male,1
127,05-01-2024,Female,19
130,05-01-2024,Male,2
130,05-01-2024,Female,19
118,05-01-2024,Male,6
118,05-01-2024,Female,18
117,05-01-2024,Male,1
117,05-01-2024,Female,12
115,05-01-2024,Male,1
115,05-01-2024,Female,11
125,05-01-2024,Male,0
125,05-01-2024,Female,16
120,05-01-2024,Male,3
120,05-01-2024,Female,11
128,05-01-2024,Male,2
128,05-01-2024,Female,12
142,05-01-2024,Male,6
142,05-01-2024,Female,34
146,05-01-2024,Male,4
146,05-01-2024,Female,24
145,05-01-2024,Male,4
145,05-01-2024,Female,9
147,05-01-2024,Male,4
147,05-01-2024,Female,19
141,05-01-2024,Male,1
141,05-01-2024,Female,12
143,05-01-2024,Male,0
143,05-01-2024,Female,0
148,05-01-2024,Male,2
148,05-01-2024,Female,18
1035,05-01-2024,Male,2
1035,05-01-2024,Female,5
1036,05-01-2024,Male,5
1036,05-01-2024,Female,1
144,05-01-2024,Male,4
144,05-01-2024,Female,9
178,05-01-2024,Male,6
178,05-01-2024,Female,52
175,05-01-2024,Male,7
175,05-01-2024,Female,43
173,05-01-2024,Male,2
173,05-01-2024,Female,49
169,05-01-2024,Male,5
169,05-01-2024,Female,42
163,05-01-2024,Male,3
163,05-01-2024,Female,41
176,05-01-2024,Male,2
176,05-01-2024,Female,38
172,05-01-2024,Male,3
172,05-01-2024,Female,18
168,05-01-2024,Male,2
168,05-01-2024,Female,57
177,05-01-2024,Male,1
177,05-01-2024,Female,17
167,05-01-2024,Male,4
167,05-01-2024,Female,19
170,05-01-2024,Male,2
170,05-01-2024,Female,23
164,05-01-2024,Male,3
164,05-01-2024,Female,28
165,05-01-2024,Male,7
165,05-01-2024,Female,29
181,05-01-2024,Male,3
181,05-01-2024,Female,13
180,05-01-2024,Male,5
180,05-01-2024,Female,18
171,05-01-2024,Male,2
171,05-01-2024,Female,17
174,05-01-2024,Male,2
174,05-01-2024,Female,13
166,05-01-2024,Male,0
166,05-01-2024,Female,13
179,05-01-2024,Male,3
179,05-01-2024,Female,28
276,05-01-2024,Male,4
276,05-01-2024,Female,29
277,05-01-2024,Male,2
277,05-01-2024,Female,20
270,05-01-2024,Male,4
270,05-01-2024,Female,24
274,05-01-2024,Male,7
274,05-01-2024,Female,20
272,05-01-2024,Male,2
272,05-01-2024,Female,21
273,05-01-2024,Male,2
273,05-01-2024,Female,13
275,05-01-2024,Male,6
275,05-01-2024,Female,23
271,05-01-2024,Male,3
271,05-01-2024,Female,8
570,05-01-2024,Male,13
570,05-01-2024,Female,31
571,05-01-2024,Male,4
571,05-01-2024,Female,20
575,05-01-2024,Male,12
575,05-01-2024,Female,21
573,05-01-2024,Male,11
573,05-01-2024,Female,13
577,05-01-2024,Male,2
577,05-01-2024,Female,21
567,05-01-2024,Male,5
567,05-01-2024,Female,11
568,05-01-2024,Male,1
568,05-01-2024,Female,16
572,05-01-2024,Male,13
572,05-01-2024,Female,31
569,05-01-2024,Male,5
569,05-01-2024,Female,11
574,05-01-2024,Male,1
574,05-01-2024,Female,16
576,05-01-2024,Male,4
576,05-01-2024,Female,15
593,05-01-2024,Male,1
593,05-01-2024,Female,37
594,05-01-2024,Male,3
594,05-01-2024,Female,35
596,05-01-2024,Male,5
596,05-01-2024,Female,46
595,05-01-2024,Male,7
595,05-01-2024,Female,35
597,05-01-2024,Male,6
597,05-01-2024,Female,36
598,05-01-2024,Male,1
598,05-01-2024,Female,28
592,05-01-2024,Male,1
592,05-01-2024,Female,38
591,05-01-2024,Male,3
591,05-01-2024,Female,26
680,05-01-2024,Male,3
680,05-01-2024,Female,16
671,05-01-2024,Male,1
671,05-01-2024,Female,14
669,05-01-2024,Male,0
669,05-01-2024,Female,17
672,05-01-2024,Male,3
672,05-01-2024,Female,9
673,05-01-2024,Male,2
673,05-01-2024,Female,8
667,05-01-2024,Male,0
667,05-01-2024,Female,6
666,05-01-2024,Male,3
666,05-01-2024,Female,6
677,05-01-2024,Male,1
677,05-01-2024,Female,12
668,05-01-2024,Male,2
668,05-01-2024,Female,11
674,05-01-2024,Male,2
674,05-01-2024,Female,9
679,05-01-2024,Male,0
679,05-01-2024,Female,19
681,05-01-2024,Male,5
681,05-01-2024,Female,4
678,05-01-2024,Male,4
678,05-01-2024,Female,10
682,05-01-2024,Male,1
682,05-01-2024,Female,6
676,05-01-2024,Male,7
676,05-01-2024,Female,12
670,05-01-2024,Male,2
670,05-01-2024,Female,5
675,05-01-2024,Male,1
675,05-01-2024,Female,11
292,05-01-2024,Male,1
292,05-01-2024,Female,32
290,05-01-2024,Male,4
290,05-01-2024,Female,18
286,05-01-2024,Male,4
286,05-01-2024,Female,17
288,05-01-2024,Male,5
288,05-01-2024,Female,30
291,05-01-2024,Male,1
291,05-01-2024,Female,25
287,05-01-2024,Male,5
287,05-01-2024,Female,34
293,05-01-2024,Male,4
293,05-01-2024,Female,19
289,05-01-2024,Male,3
289,05-01-2024,Female,33
504,05-01-2024,Male,1
504,05-01-2024,Female,15
506,05-01-2024,Male,6
506,05-01-2024,Female,15
511,05-01-2024,Male,3
511,05-01-2024,Female,18
500,05-01-2024,Male,8
500,05-01-2024,Female,18
499,05-01-2024,Male,6
499,05-01-2024,Female,19
509,05-01-2024,Male,10
509,05-01-2024,Female,17
513,05-01-2024,Male,4
513,05-01-2024,Female,15
507,05-01-2024,Male,4
507,05-01-2024,Female,9
508,05-01-2024,Male,2
508,05-01-2024,Female,5
512,05-01-2024,Male,8
512,05-01-2024,Female,8
515,05-01-2024,Male,4
