lga_id,school_id,school_name,school_type,category,lat,long
13,2001,CENTRAL SCHOOL ACHINA,PUBLIC MISSION,Primary,,
13,2002,PRIMARY SCHOOL EKE ACHINA,PUBLIC MISSION,Primary,,
13,2003,OBINIKPA SCHOOL ACHINA,PUBLIC MISSION,Primary,,
13,2004,PROGRESSIVE SCHOOL ACHINA,PUBLIC MISSION,Primary,,
13,2005,CENTRAL SCHOOL AGULUEZECHUKWU,PUBLIC MISSION,Primary,,
13,2006,COMMUNITY SCHOOL AGULUEZECHUKWU,PUBLIC MISSION,Primary,,
13,2007,PRIMARY SCHOOL AGULUEZECHUKWU,PUBLIC,Primary,,
13,2008,OBIOFIA PRIMARY SCHOOL AGULUEZECHUKWU,PUBLIC,Primary,,
13,2009,CENTRAL SCHOOL AKPO,PUBLIC MISSION,Primary,,
13,2010,EGBUIKE PRIMARY SCHOOL AKPO,PUBLIC,Primary,,
13,2011,COMBINED PRIMARY SCHOOL AKPO/ACHINA,PUBLIC MISSION,Primary,,
13,2012,UDOKA PRIMARY SCHOOL AKPO/ACHINA,PUBLIC,Primary,,
13,2013,CENTRAL SCHOOL AMESI,PUBLIC MISSION,Primary,,
13,2014,COMMUNITY SCHOOL AMESI,PUBLIC,Primary,,
13,2015,PRIMARY SCHOOL AGBA EKWULOBIA,PUBLIC MISSION,Primary,,
13,2016,CENTRAL SCHOOL EKWULOBIA,PUBLIC MISSION,Primary,,
13,2017,COMMUNITY SCHOOL EKWULOBIA,PUBLIC MISSION,Primary,,
13,2018,EFOSIE PRIMARY SCHOOL EKWULOBIA,PUBLIC MISSION,Primary,,
13,2019,PRIMARY SCHOOL EZIAGULU EKWULOBIA,PUBLIC MISSION,Primary,,
13,2020,NWANNEBO PRIMARY SCHOOL ULA EKWULOBIA,PUBLIC MISSION,Primary,,
13,2021,UMUEZENNAFOR PRIMARY SCHOOL EKWULOBIA,PUBLIC MISSION,Primary,,
13,2022,AKPUNOJI PRIMARY SCHOOL EZINIFITE,PUBLIC MISSION,Primary,,
13,2023,ANULI COMMUNITY PRIMARY SCHOOL EZINIFITE,PUBLIC MISSION,Primary,,
13,2024,CENTRAL SCHOOL EZINIFITE,PUBLIC MISSION,Primary,,
13,2025,IGWEBUIKE PRIMARY SCHOOL EZINIFITE,PUBLIC MISSION,Primary,,
13,2026,NWAHIA PRIMARY SCHOOL EZINIFITE,PUBLIC MISSION,Primary,,
13,2027,OGBUGBOGU COMMUNITY PRIMARY SCHOOL EZINIFITE,PUBLIC MISSION,Primary,,
13,2028,TOWN SCHOOL EZINIFITE,PUBLIC MISSION,Primary,,
13,2029,AMAKPU PRIMARY SCHOOL NGO IGBOUKWU,PUBLIC,Primary,,
13,2030,CENTRAL SCHOOL IGBOUKWU,PUBLIC MISSION,Primary,,
13,2031,COMMUNITY SCHOOL OBIUNO IGBOUKWU,PUBLIC MISSION,Primary,,
13,2032,EZIHU PRIMARY SCHOOL IGBOUKWU,PUBLIC MISSION,Primary,,
13,2033,PRIMARY SCHOOL NGO IGBOUKWU,PUBLIC MISSION,Primary,,
13,2034,OBIGBO CENTRAL SCHOOL IGBOUKWU,PUBLIC,Primary,,
13,2035,OGWUGWUAGU COMMUNITY SCHOOL IGBOUKWU,PUBLIC MISSION,Primary,,
13,2036,PRIMARY SCHOOL IFITE IGBOUKWU,PUBLIC MISSION,Primary,,
13,2037,PRIMARY SCHOOL OBIUNO IGBOUKWU,PUBLIC MISSION,Primary,,
13,2038,TOWN SCHOOL IGBOUKWU,PUBLIC MISSION,Primary,,
13,2039,UNION PRIMARY SCHOOL IGBOUKWU,PUBLIC,Primary,,
13,2040,COMMUNITY SCHOOL IKENGA,PUBLIC MISSION,Primary,,
13,2041,AMOJI PRIMARY SCHOOL ISUOFIA,PUBLIC,Primary,,
13,2042,CENTRAL SCHOOL ISUOFIA,PUBLIC MISSION,Primary,,
13,2043,COMMUNITY PRIMARY SCHOOL ISUOFIA,PUBLIC MISSION,Primary,,
13,2044,IKEMEE PRIMARY SCHOOL ISUOFIA,PUBLIC MISSION,Primary,,
13,2045,PRIMARY SCHOOL ISUOFIA,PUBLIC,Primary,,
13,2046,CENTRAL SCHOOL NKPOLOGWU,PUBLIC MISSION,Primary,,
