lga_id,school_id,school_name,school_type,lat,long,level
13,1,URBAN GIRLS'.SEC.SCH. EKWULOBIA,Secondary,,,
13,2,GIRLS' .SEC. SCH. IGBOUKWU,Secondary,,,
13,3,COMM.SEC. SCH. ISUOFIA,Secondary,,,
13,4,AGUATA HIGH SCH.AGUATA ,Secondary,,,
13,5,GIRLS' HIGH SCHOOL UGA,Secondary,,,
13,6,UGA BOYS' SEC. SCH UGA,Secondary,,,
13,7,COMM. SEC. SCH. UGA,Secondary,,,
13,8,PIONEER SEC. SCH. (GSS) UMUCHU,Secondary,,,
13,9,COMM SEC.SCH. UMUCHU,Secondary,,,
13,10,UMUCHU HIGH. SCH. UMUCHU,Secondary,,,
13,11,GOVT. TECH. COLL. UMUCHU,Secondary,,,
13,12,ST. PETER'S SEC. SCH. ACHINA,Secondary,,,
13,13,COMM. SEC. SCH. ACHINA,Secondary,,,
13,14,COMM. SEC. SCH. NKPOLOGWU,Secondary,,,
13,15,COMM SEC. SCH. ORAERI,Secondary,,,
13,16,COMM SEC. SCH. AGULUEZECHUKWU,Secondary,,,
13,17,COMM SEC. SCH. AKPO,Secondary,,,
13,18,CHRIST THE REDEEMER COLLEGE  AMESI,Secondary,,,
13,19,COMM SEC. SCH. (BSS) IGBOUKWU,Secondary,,,
13,20,COMM SEC. SCH. (BSS) EZINIFITE,Secondary,,,
13,21,EZINIFITE HIGH SCHOOL EZINIFITE,Secondary,,,
7,22,"COMM. HIGH SCHOOL, NANKA",Secondary,,,
7,23,COMM. SEC. SCH. NANKA,Secondary,,,
7,24,COMM. SEC. SCH. OKO,Secondary,,,
7,25,COMM. SEC. SCH. NDIKELIONWU,Secondary,,,
7,26,COMM SEC. SCH. NDIOWU  ,Secondary,,,
7,27,COMM. SEC. SCH. UFUMA,Secondary,,,
7,28,COMM. SEC. SCH. ENUGWUABOR UFUMA,Secondary,,,
7,29,COMM.SEC. SCH. AWGBU,Secondary,,,
7,30,COMM. HIGH.SCH. AWGBU,Secondary,,,
7,31,AWGBU GRAMMAR SCH. AWGBU,Secondary,,,
7,32,COMM SEC.SCH. AJALI,Secondary,,,
7,33,COMM. SEC.SCH. OMOGHO,Secondary,,,
7,34,COMM. SEC. SCH AWA,Secondary,,,
7,35,COMM SEC SCH NDIUKWUENU,Secondary,,,
7,36,COMM.SEC.SCH. OKPEZE,Secondary,,,
7,37,COMM.SEC.SCH.NDIOKPALEKE,Secondary,,,
21,38,ALL SAINTS SEC.SCH. UMUNZE,Secondary,,,
21,39,COMM. HIGH. SCH. UMUNZE,Secondary,,,
21,40,GOVT TECHNICAL COLLEGE UMUNZE,Secondary,,,
21,41,COMM. SEC. SCH. IHITE,Secondary,,,
21,42,COMM. HIGH. SCH. NAWFIJA,Secondary,,,
21,43,NEW BETHEL SEC. SCH. ISULO,Secondary,,,
21,44,VICTORY HIGH. SCH. EZIRA,Secondary,,,
21,45,PREMIER SEC. SCH. OGBUNKA (BSS),Secondary,,,
21,46,COMM. .SEC. SCH. OGBUNKA (GSS),Secondary,,,
21,47,UNION SEC.SCH. OWERE EZUKALA,Secondary,,,
21,48,COMM. SEC.SCH. OWERE EZUKALA,Secondary,,,
21,49,COMM. HIGH.SCH. OGBOJI,Secondary,,,
21,50,UNION SEC.SCH. UMUOMAKU,Secondary,,,
21,51,BASDEN MEMORIAL EDU. CENTER ISULO,Secondary,,,
21,52,"COMMUNITY SECONADRY  SCHOOL, EZIAGU",Secondary,,,
9,53,ROSA MYSTICA HIGH SCHOOL AGULU,Secondary,,,
9,54,FLORA A.M.C SEC.SCH. NENI,Secondary,,,
9,55,LORETTO SPE. SEC. SCH. ADAZI NNUKWU,Secondary,,,
9,56,COMM. SEC. SCH. OBELEDU,Secondary,,,
9,57,COMM. SEC. SCH. ICHIDA,Secondary,,,
9,58,COMM. HIGH SCH. AGULUZIGBO,Secondary,,,
9,59,BUBENDORFF M.G.S. ADAZI-NNUKWU,Secondary,,,
9,60,COMM. SEC. SCH. AGULU,Secondary,,,
9,61,OJIAKO MEM0 GRAM SCH. ADAZI-ANI,Secondary,,,
