school_id,timestamp,gender,population
21,12-01-2023,Male,3
21,12-01-2023,Female,38
14,12-01-2023,Male,8
14,12-01-2023,Female,26
12,12-01-2023,Male,5
12,12-01-2023,Female,22
1,12-01-2023,Male,4
1,12-01-2023,Female,21
15,12-01-2023,Male,4
15,12-01-2023,Female,14
19,12-01-2023,Male,4
19,12-01-2023,Female,17
11,12-01-2023,Male,4
11,12-01-2023,Female,14
17,12-01-2023,Male,1
17,12-01-2023,Female,13
8,12-01-2023,Male,2
8,12-01-2023,Female,18
20,12-01-2023,Male,4
20,12-01-2023,Female,9
16,12-01-2023,Male,16
16,12-01-2023,Female,17
18,12-01-2023,Male,3
18,12-01-2023,Female,18
9,12-01-2023,Male,2
9,12-01-2023,Female,20
10,12-01-2023,Male,8
10,12-01-2023,Female,9
7,12-01-2023,Male,4
7,12-01-2023,Female,22
5,12-01-2023,Male,3
5,12-01-2023,Female,15
6,12-01-2023,Male,1
6,12-01-2023,Female,18
2,12-01-2023,Male,2
2,12-01-2023,Female,17
4,12-01-2023,Male,8
4,12-01-2023,Female,27
3,12-01-2023,Male,0
3,12-01-2023,Female,8
13,12-01-2023,Male,3
13,12-01-2023,Female,20
920,12-01-2023,Male,5
920,12-01-2023,Female,22
924,12-01-2023,Male,2
924,12-01-2023,Female,18
926,12-01-2023,Male,2
926,12-01-2023,Female,37
925,12-01-2023,Male,1
925,12-01-2023,Female,13
918,12-01-2023,Male,2
918,12-01-2023,Female,15
927,12-01-2023,Male,3
927,12-01-2023,Female,7
923,12-01-2023,Male,3
923,12-01-2023,Female,9
929,12-01-2023,Male,5
929,12-01-2023,Female,17
921,12-01-2023,Male,5
921,12-01-2023,Female,14
916,12-01-2023,Male,1
916,12-01-2023,Female,11
919,12-01-2023,Male,2
919,12-01-2023,Female,18
928,12-01-2023,Male,4
928,12-01-2023,Female,14
922,12-01-2023,Male,3
922,12-01-2023,Female,8
917,12-01-2023,Male,2
917,12-01-2023,Female,6
930,12-01-2023,Male,3
930,12-01-2023,Female,8
931,12-01-2023,Male,1
931,12-01-2023,Female,6
947,12-01-2023,Male,2
947,12-01-2023,Female,23
950,12-01-2023,Male,3
950,12-01-2023,Female,21
955,12-01-2023,Male,19
955,12-01-2023,Female,19
952,12-01-2023,Male,4
952,12-01-2023,Female,14
949,12-01-2023,Male,6
949,12-01-2023,Female,15
956,12-01-2023,Male,6
956,12-01-2023,Female,18
960,12-01-2023,Male,3
960,12-01-2023,Female,10
957,12-01-2023,Male,3
957,12-01-2023,Female,15
954,12-01-2023,Male,2
954,12-01-2023,Female,6
958,12-01-2023,Male,1
958,12-01-2023,Female,9
953,12-01-2023,Male,7
953,12-01-2023,Female,7
951,12-01-2023,Male,3
951,12-01-2023,Female,18
959,12-01-2023,Male,3
959,12-01-2023,Female,13
948,12-01-2023,Male,4
948,12-01-2023,Female,14
1034,12-01-2023,Male,4
1034,12-01-2023,Female,8
129,12-01-2023,Male,1
129,12-01-2023,Female,36
124,12-01-2023,Male,4
124,12-01-2023,Female,24
126,12-01-2023,Male,3
126,12-01-2023,Female,19
123,12-01-2023,Male,1
123,12-01-2023,Female,20
122,12-01-2023,Male,1
122,12-01-2023,Female,16
119,12-01-2023,Male,5
119,12-01-2023,Female,9
116,12-01-2023,Male,6
116,12-01-2023,Female,26
121,12-01-2023,Male,9
121,12-01-2023,Female,11
127,12-01-2023,Male,1
127,12-01-2023,Female,19
130,12-01-2023,Male,2
130,12-01-2023,Female,19
118,12-01-2023,Male,1
118,12-01-2023,Female,14
117,12-01-2023,Male,0
117,12-01-2023,Female,0
115,12-01-2023,Male,1
115,12-01-2023,Female,18
125,12-01-2023,Male,0
125,12-01-2023,Female,16
120,12-01-2023,Male,3
120,12-01-2023,Female,11
128,12-01-2023,Male,4
128,12-01-2023,Female,13
142,12-01-2023,Male,5
142,12-01-2023,Female,34
146,12-01-2023,Male,4
146,12-01-2023,Female,25
145,12-01-2023,Male,5
145,12-01-2023,Female,10
147,12-01-2023,Male,4
147,12-01-2023,Female,19
141,12-01-2023,Male,1
141,12-01-2023,Female,12
143,12-01-2023,Male,4
143,12-01-2023,Female,14
148,12-01-2023,Male,2
148,12-01-2023,Female,18
1035,12-01-2023,Male,2
1035,12-01-2023,Female,5
1036,12-01-2023,Male,5
1036,12-01-2023,Female,1
144,12-01-2023,Male,4
144,12-01-2023,Female,9
178,12-01-2023,Male,7
178,12-01-2023,Female,55
175,12-01-2023,Male,6
175,12-01-2023,Female,43
173,12-01-2023,Male,2
173,12-01-2023,Female,49
169,12-01-2023,Male,5
169,12-01-2023,Female,43
163,12-01-2023,Male,2
163,12-01-2023,Female,44
176,12-01-2023,Male,2
176,12-01-2023,Female,41
172,12-01-2023,Male,5
172,12-01-2023,Female,18
168,12-01-2023,Male,3
168,12-01-2023,Female,55
177,12-01-2023,Male,1
177,12-01-2023,Female,17
167,12-01-2023,Male,4
167,12-01-2023,Female,19
170,12-01-2023,Male,2
170,12-01-2023,Female,23
164,12-01-2023,Male,3
164,12-01-2023,Female,28
165,12-01-2023,Male,7
165,12-01-2023,Female,29
181,12-01-2023,Male,3
181,12-01-2023,Female,13
180,12-01-2023,Male,5
180,12-01-2023,Female,18
171,12-01-2023,Male,2
171,12-01-2023,Female,19
174,12-01-2023,Male,2
174,12-01-2023,Female,13
166,12-01-2023,Male,1
166,12-01-2023,Female,12
179,12-01-2023,Male,3
179,12-01-2023,Female,28
276,12-01-2023,Male,0
276,12-01-2023,Female,0
277,12-01-2023,Male,2
277,12-01-2023,Female,20
270,12-01-2023,Male,4
270,12-01-2023,Female,24
274,12-01-2023,Male,7
274,12-01-2023,Female,20
272,12-01-2023,Male,2
272,12-01-2023,Female,21
273,12-01-2023,Male,1
273,12-01-2023,Female,11
275,12-01-2023,Male,7
275,12-01-2023,Female,22
271,12-01-2023,Male,3
271,12-01-2023,Female,8
570,12-01-2023,Male,1
570,12-01-2023,Female,17
571,12-01-2023,Male,4
571,12-01-2023,Female,15
575,12-01-2023,Male,12
575,12-01-2023,Female,21
573,12-01-2023,Male,11
