school_id,timestamp,gender,population
21,02-01-2024,Male,3
21,02-01-2024,Female,38
14,02-01-2024,Male,8
14,02-01-2024,Female,26
12,02-01-2024,Male,5
12,02-01-2024,Female,22
1,02-01-2024,Male,3
1,02-01-2024,Female,21
15,02-01-2024,Male,4
15,02-01-2024,Female,14
19,02-01-2024,Male,4
19,02-01-2024,Female,17
11,02-01-2024,Male,3
11,02-01-2024,Female,14
17,02-01-2024,Male,1
17,02-01-2024,Female,13
8,02-01-2024,Male,2
8,02-01-2024,Female,18
20,02-01-2024,Male,4
20,02-01-2024,Female,9
16,02-01-2024,Male,16
16,02-01-2024,Female,17
18,02-01-2024,Male,3
18,02-01-2024,Female,18
9,02-01-2024,Male,2
9,02-01-2024,Female,20
10,02-01-2024,Male,8
10,02-01-2024,Female,9
7,02-01-2024,Male,4
7,02-01-2024,Female,22
5,02-01-2024,Male,3
5,02-01-2024,Female,15
6,02-01-2024,Male,1
6,02-01-2024,Female,18
2,02-01-2024,Male,2
2,02-01-2024,Female,17
4,02-01-2024,Male,8
4,02-01-2024,Female,27
3,02-01-2024,Male,2
3,02-01-2024,Female,12
13,02-01-2024,Male,3
13,02-01-2024,Female,18
920,02-01-2024,Male,9
920,02-01-2024,Female,25
924,02-01-2024,Male,2
924,02-01-2024,Female,18
926,02-01-2024,Male,2
926,02-01-2024,Female,37
925,02-01-2024,Male,1
925,02-01-2024,Female,14
918,02-01-2024,Male,2
918,02-01-2024,Female,15
927,02-01-2024,Male,3
927,02-01-2024,Female,7
923,02-01-2024,Male,3
923,02-01-2024,Female,9
929,02-01-2024,Male,5
929,02-01-2024,Female,17
921,02-01-2024,Male,5
921,02-01-2024,Female,14
916,02-01-2024,Male,1
916,02-01-2024,Female,11
919,02-01-2024,Male,2
919,02-01-2024,Female,18
928,02-01-2024,Male,3
928,02-01-2024,Female,16
922,02-01-2024,Male,3
922,02-01-2024,Female,8
917,02-01-2024,Male,2
917,02-01-2024,Female,6
930,02-01-2024,Male,3
930,02-01-2024,Female,8
931,02-01-2024,Male,1
931,02-01-2024,Female,7
947,02-01-2024,Male,2
947,02-01-2024,Female,23
950,02-01-2024,Male,3
950,02-01-2024,Female,19
955,02-01-2024,Male,19
955,02-01-2024,Female,19
952,02-01-2024,Male,4
952,02-01-2024,Female,15
949,02-01-2024,Male,6
949,02-01-2024,Female,15
956,02-01-2024,Male,6
956,02-01-2024,Female,18
960,02-01-2024,Male,3
960,02-01-2024,Female,10
957,02-01-2024,Male,3
957,02-01-2024,Female,15
954,02-01-2024,Male,2
954,02-01-2024,Female,6
958,02-01-2024,Male,1
958,02-01-2024,Female,9
953,02-01-2024,Male,7
953,02-01-2024,Female,7
951,02-01-2024,Male,3
951,02-01-2024,Female,18
959,02-01-2024,Male,3
959,02-01-2024,Female,13
948,02-01-2024,Male,4
948,02-01-2024,Female,14
1034,02-01-2024,Male,4
1034,02-01-2024,Female,8
129,02-01-2024,Male,2
129,02-01-2024,Female,32
124,02-01-2024,Male,4
124,02-01-2024,Female,24
126,02-01-2024,Male,3
126,02-01-2024,Female,19
123,02-01-2024,Male,1
123,02-01-2024,Female,20
122,02-01-2024,Male,1
122,02-01-2024,Female,16
119,02-01-2024,Male,5
119,02-01-2024,Female,9
116,02-01-2024,Male,6
116,02-01-2024,Female,26
121,02-01-2024,Male,8
121,02-01-2024,Female,11
127,02-01-2024,Male,1
127,02-01-2024,Female,19
130,02-01-2024,Male,2
130,02-01-2024,Female,19
118,02-01-2024,Male,1
118,02-01-2024,Female,14
117,02-01-2024,Male,0
117,02-01-2024,Female,0
115,02-01-2024,Male,1
115,02-01-2024,Female,8
125,02-01-2024,Male,0
125,02-01-2024,Female,2
120,02-01-2024,Male,3
120,02-01-2024,Female,11
128,02-01-2024,Male,2
128,02-01-2024,Female,12
142,02-01-2024,Male,5
142,02-01-2024,Female,34
146,02-01-2024,Male,4
146,02-01-2024,Female,24
145,02-01-2024,Male,4
145,02-01-2024,Female,10
147,02-01-2024,Male,4
147,02-01-2024,Female,19
141,02-01-2024,Male,1
141,02-01-2024,Female,12
143,02-01-2024,Male,4
143,02-01-2024,Female,14
148,02-01-2024,Male,2
148,02-01-2024,Female,18
1035,02-01-2024,Male,2
1035,02-01-2024,Female,5
1036,02-01-2024,Male,5
1036,02-01-2024,Female,1
144,02-01-2024,Male,4
144,02-01-2024,Female,9
178,02-01-2024,Male,7
178,02-01-2024,Female,55
175,02-01-2024,Male,7
175,02-01-2024,Female,43
173,02-01-2024,Male,2
173,02-01-2024,Female,49
169,02-01-2024,Male,5
169,02-01-2024,Female,42
163,02-01-2024,Male,2
163,02-01-2024,Female,44
176,02-01-2024,Male,2
176,02-01-2024,Female,41
172,02-01-2024,Male,4
172,02-01-2024,Female,33
168,02-01-2024,Male,2
168,02-01-2024,Female,55
177,02-01-2024,Male,1
177,02-01-2024,Female,17
167,02-01-2024,Male,4
167,02-01-2024,Female,19
170,02-01-2024,Male,2
170,02-01-2024,Female,23
164,02-01-2024,Male,1
164,02-01-2024,Female,28
165,02-01-2024,Male,7
165,02-01-2024,Female,29
181,02-01-2024,Male,3
181,02-01-2024,Female,13
180,02-01-2024,Male,5
180,02-01-2024,Female,18
171,02-01-2024,Male,2
171,02-01-2024,Female,19
174,02-01-2024,Male,2
174,02-01-2024,Female,13
166,02-01-2024,Male,0
166,02-01-2024,Female,13
179,02-01-2024,Male,3
179,02-01-2024,Female,28
276,02-01-2024,Male,4
276,02-01-2024,Female,29
277,02-01-2024,Male,2
277,02-01-2024,Female,20
270,02-01-2024,Male,4
270,02-01-2024,Female,24
274,02-01-2024,Male,7
274,02-01-2024,Female,20
272,02-01-2024,Male,2
272,02-01-2024,Female,21
273,02-01-2024,Male,1
273,02-01-2024,Female,12
275,02-01-2024,Male,6
275,02-01-2024,Female,23
271,02-01-2024,Male,3
271,02-01-2024,Female,8
570,02-01-2024,Male,13
570,02-01-2024,Female,30
571,02-01-2024,Male,4
571,02-01-2024,Female,20
575,02-01-2024,Male,12
575,02-01-2024,Female,21
573,02-01-2024,Male,11
573,02-01-2024,Female,13
577,02-01-2024,Male,2
577,02-01-2024,Female,20
567,02-01-2024,Male,5
567,02-01-2024,Female,12
568,02-01-2024,Male,1
568,02-01-2024,Female,16
572,02-01-2024,Male,11
572,02-01-2024,Female,21
569,02-01-2024,Male,5
569,02-01-2024,Female,12
574,02-01-2024,Male,1
574,02-01-2024,Female,17
576,02-01-2024,Male,4
576,02-01-2024,Female,17
593,02-01-2024,Male,1
593,02-01-2024,Female,38
594,02-01-2024,Male,3
594,02-01-2024,Female,35
596,02-01-2024,Male,5
596,02-01-2024,Female,46
595,02-01-2024,Male,7
595,02-01-2024,Female,35
597,02-01-2024,Male,7
597,02-01-2024,Female,35
598,02-01-2024,Male,0
598,02-01-2024,Female,28
592,02-01-2024,Male,1
592,02-01-2024,Female,38
591,02-01-2024,Male,3
591,02-01-2024,Female,26
680,02-01-2024,Male,3
680,02-01-2024,Female,14
671,02-01-2024,Male,0
671,02-01-2024,Female,17
669,02-01-2024,Male,1
669,02-01-2024,Female,14
672,02-01-2024,Male,3
672,02-01-2024,Female,9
673,02-01-2024,Male,2
673,02-01-2024,Female,8
667,02-01-2024,Male,0
667,02-01-2024,Female,8
666,02-01-2024,Male,3
666,02-01-2024,Female,8
677,02-01-2024,Male,1
677,02-01-2024,Female,12
668,02-01-2024,Male,2
668,02-01-2024,Female,11
674,02-01-2024,Male,2
674,02-01-2024,Female,9
679,02-01-2024,Male,0
679,02-01-2024,Female,19
681,02-01-2024,Male,5
681,02-01-2024,Female,4
678,02-01-2024,Male,4
678,02-01-2024,Female,10
682,02-01-2024,Male,1
682,02-01-2024,Female,16
676,02-01-2024,Male,7
676,02-01-2024,Female,12
670,02-01-2024,Male,2
