school_id,timestamp,gender,population
21,06-01-2024,Male,3
21,06-01-2024,Female,38
14,06-01-2024,Male,8
14,06-01-2024,Female,26
12,06-01-2024,Male,5
12,06-01-2024,Female,20
1,06-01-2024,Male,4
1,06-01-2024,Female,20
15,06-01-2024,Male,4
15,06-01-2024,Female,14
19,06-01-2024,Male,4
19,06-01-2024,Female,17
11,06-01-2024,Male,3
11,06-01-2024,Female,14
17,06-01-2024,Male,1
17,06-01-2024,Female,13
8,06-01-2024,Male,2
8,06-01-2024,Female,18
20,06-01-2024,Male,4
20,06-01-2024,Female,9
16,06-01-2024,Male,19
16,06-01-2024,Female,18
18,06-01-2024,Male,3
18,06-01-2024,Female,18
9,06-01-2024,Male,2
9,06-01-2024,Female,20
10,06-01-2024,Male,8
10,06-01-2024,Female,9
7,06-01-2024,Male,3
7,06-01-2024,Female,22
5,06-01-2024,Male,3
5,06-01-2024,Female,15
6,06-01-2024,Male,1
6,06-01-2024,Female,18
2,06-01-2024,Male,2
2,06-01-2024,Female,17
4,06-01-2024,Male,8
4,06-01-2024,Female,27
3,06-01-2024,Male,2
3,06-01-2024,Female,12
13,06-01-2024,Male,3
13,06-01-2024,Female,18
920,06-01-2024,Male,9
920,06-01-2024,Female,23
924,06-01-2024,Male,2
924,06-01-2024,Female,18
926,06-01-2024,Male,2
926,06-01-2024,Female,37
925,06-01-2024,Male,1
925,06-01-2024,Female,14
918,06-01-2024,Male,2
918,06-01-2024,Female,15
927,06-01-2024,Male,3
927,06-01-2024,Female,7
923,06-01-2024,Male,3
923,06-01-2024,Female,9
929,06-01-2024,Male,5
929,06-01-2024,Female,17
921,06-01-2024,Male,5
921,06-01-2024,Female,14
916,06-01-2024,Male,1
916,06-01-2024,Female,11
919,06-01-2024,Male,3
919,06-01-2024,Female,17
928,06-01-2024,Male,3
928,06-01-2024,Female,16
922,06-01-2024,Male,3
922,06-01-2024,Female,8
917,06-01-2024,Male,2
917,06-01-2024,Female,6
930,06-01-2024,Male,3
930,06-01-2024,Female,8
931,06-01-2024,Male,1
931,06-01-2024,Female,7
947,06-01-2024,Male,2
947,06-01-2024,Female,23
950,06-01-2024,Male,2
950,06-01-2024,Female,19
955,06-01-2024,Male,19
955,06-01-2024,Female,18
952,06-01-2024,Male,4
952,06-01-2024,Female,14
949,06-01-2024,Male,6
949,06-01-2024,Female,15
956,06-01-2024,Male,6
956,06-01-2024,Female,18
960,06-01-2024,Male,3
960,06-01-2024,Female,10
957,06-01-2024,Male,3
957,06-01-2024,Female,15
954,06-01-2024,Male,2
954,06-01-2024,Female,6
958,06-01-2024,Male,1
958,06-01-2024,Female,9
953,06-01-2024,Male,7
953,06-01-2024,Female,7
951,06-01-2024,Male,3
951,06-01-2024,Female,18
959,06-01-2024,Male,3
959,06-01-2024,Female,13
948,06-01-2024,Male,4
948,06-01-2024,Female,14
1034,06-01-2024,Male,4
1034,06-01-2024,Female,8
129,06-01-2024,Male,3
129,06-01-2024,Female,19
124,06-01-2024,Male,3
124,06-01-2024,Female,24
126,06-01-2024,Male,3
126,06-01-2024,Female,19
123,06-01-2024,Male,1
123,06-01-2024,Female,20
122,06-01-2024,Male,1
122,06-01-2024,Female,16
119,06-01-2024,Male,5
119,06-01-2024,Female,9
116,06-01-2024,Male,22
116,06-01-2024,Female,26
121,06-01-2024,Male,6
121,06-01-2024,Female,23
127,06-01-2024,Male,1
127,06-01-2024,Female,19
130,06-01-2024,Male,2
130,06-01-2024,Female,19
118,06-01-2024,Male,6
118,06-01-2024,Female,18
117,06-01-2024,Male,1
117,06-01-2024,Female,12
115,06-01-2024,Male,1
115,06-01-2024,Female,11
125,06-01-2024,Male,0
125,06-01-2024,Female,16
120,06-01-2024,Male,3
120,06-01-2024,Female,11
128,06-01-2024,Male,2
128,06-01-2024,Female,12
142,06-01-2024,Male,6
142,06-01-2024,Female,34
146,06-01-2024,Male,4
146,06-01-2024,Female,24
145,06-01-2024,Male,4
145,06-01-2024,Female,9
147,06-01-2024,Male,4
147,06-01-2024,Female,19
141,06-01-2024,Male,1
141,06-01-2024,Female,12
143,06-01-2024,Male,0
143,06-01-2024,Female,0
148,06-01-2024,Male,2
148,06-01-2024,Female,18
1035,06-01-2024,Male,2
1035,06-01-2024,Female,5
1036,06-01-2024,Male,5
1036,06-01-2024,Female,1
144,06-01-2024,Male,4
144,06-01-2024,Female,9
178,06-01-2024,Male,6
178,06-01-2024,Female,52
175,06-01-2024,Male,7
175,06-01-2024,Female,43
173,06-01-2024,Male,2
173,06-01-2024,Female,49
169,06-01-2024,Male,5
169,06-01-2024,Female,42
163,06-01-2024,Male,3
163,06-01-2024,Female,41
176,06-01-2024,Male,2
176,06-01-2024,Female,38
172,06-01-2024,Male,3
172,06-01-2024,Female,18
168,06-01-2024,Male,2
168,06-01-2024,Female,57
177,06-01-2024,Male,1
177,06-01-2024,Female,17
167,06-01-2024,Male,4
167,06-01-2024,Female,19
170,06-01-2024,Male,2
170,06-01-2024,Female,23
164,06-01-2024,Male,3
164,06-01-2024,Female,28
165,06-01-2024,Male,7
165,06-01-2024,Female,29
181,06-01-2024,Male,3
181,06-01-2024,Female,13
180,06-01-2024,Male,5
180,06-01-2024,Female,18
171,06-01-2024,Male,2
171,06-01-2024,Female,17
174,06-01-2024,Male,2
174,06-01-2024,Female,13
166,06-01-2024,Male,0
166,06-01-2024,Female,13
179,06-01-2024,Male,3
179,06-01-2024,Female,28
276,06-01-2024,Male,4
276,06-01-2024,Female,29
277,06-01-2024,Male,2
277,06-01-2024,Female,20
270,06-01-2024,Male,4
270,06-01-2024,Female,24
274,06-01-2024,Male,7
274,06-01-2024,Female,20
272,06-01-2024,Male,2
272,06-01-2024,Female,21
273,06-01-2024,Male,2
273,06-01-2024,Female,13
275,06-01-2024,Male,6
275,06-01-2024,Female,23
271,06-01-2024,Male,3
271,06-01-2024,Female,8
570,06-01-2024,Male,13
570,06-01-2024,Female,31
571,06-01-2024,Male,4
571,06-01-2024,Female,20
575,06-01-2024,Male,12
575,06-01-2024,Female,21
573,06-01-2024,Male,11
573,06-01-2024,Female,13
577,06-01-2024,Male,2
577,06-01-2024,Female,21
567,06-01-2024,Male,5
567,06-01-2024,Female,11
568,06-01-2024,Male,1
568,06-01-2024,Female,16
572,06-01-2024,Male,13
572,06-01-2024,Female,31
569,06-01-2024,Male,5
569,06-01-2024,Female,11
574,06-01-2024,Male,1
574,06-01-2024,Female,16
576,06-01-2024,Male,4
576,06-01-2024,Female,15
593,06-01-2024,Male,1
593,06-01-2024,Female,37
594,06-01-2024,Male,3
594,06-01-2024,Female,35
596,06-01-2024,Male,5
596,06-01-2024,Female,46
595,06-01-2024,Male,7
595,06-01-2024,Female,35
597,06-01-2024,Male,6
597,06-01-2024,Female,36
598,06-01-2024,Male,1
598,06-01-2024,Female,28
592,06-01-2024,Male,1
592,06-01-2024,Female,38
591,06-01-2024,Male,3
591,06-01-2024,Female,26
680,06-01-2024,Male,3
680,06-01-2024,Female,16
671,06-01-2024,Male,1
671,06-01-2024,Female,14
669,06-01-2024,Male,0
669,06-01-2024,Female,17
672,06-01-2024,Male,3
672,06-01-2024,Female,9
673,06-01-2024,Male,2
673,06-01-2024,Female,8
667,06-01-2024,Male,0
667,06-01-2024,Female,6
666,06-01-2024,Male,3
666,06-01-2024,Female,6
677,06-01-2024,Male,1
677,06-01-2024,Female,12
668,06-01-2024,Male,2
668,06-01-2024,Female,11
674,06-01-2024,Male,2
674,06-01-2024,Female,9
679,06-01-2024,Male,0
679,06-01-2024,Female,19
681,06-01-2024,Male,5
681,06-01-2024,Female,4
678,06-01-2024,Male,4
678,06-01-2024,Female,10
682,06-01-2024,Male,1
682,06-01-2024,Female,6
676,06-01-2024,Male,7
676,06-01-2024,Female,12
670,06-01-2024,Male,2
670,06-01-2024,Female,5
675,06-01-2024,Male,1
675,06-01-2024,Female,11
292,06-01-2024,Male,1
292,06-01-2024,Female,32
290,06-01-2024,Male,4
290,06-01-2024,Female,18
286,06-01-2024,Male,4
286,06-01-2024,Female,17
288,06-01-2024,Male,5
288,06-01-2024,Female,30
291,06-01-2024,Male,1
291,06-01-2024,Female,25
287,06-01-2024,Male,5
287,06-01-2024,Female,34
293,06-01-2024,Male,4
293,06-01-2024,Female,19
289,06-01-2024,Male,3
289,06-01-2024,Female,33
504,06-01-2024,Male,1
504,06-01-2024,Female,15
506,06-01-2024,Male,6
506,06-01-2024,Female,15
511,06-01-2024,Male,3
511,06-01-2024,Female,18
500,06-01-2024,Male,8
500,06-01-2024,Female,18
499,06-01-2024,Male,6
499,06-01-2024,Female,19
509,06-01-2024,Male,10
509,06-01-2024,Female,17
513,06-01-2024,Male,4
513,06-01-2024,Female,15
507,06-01-2024,Male,4
507,06-01-2024,Female,9
508,06-01-2024,Male,2
508,06-01-2024,Female,5
512,06-01-2024,Male,8
512,06-01-2024,Female,8
515,06-01-2024,Male,4
515,06-01-2024,Female,13
510,06-01-2024,Male,7
510,06-01-2024,Female,17
505,06-01-2024,Male,1
505,06-01-2024,Female,6
514,06-01-2024,Male,3
514,06-01-2024,Female,13
503,06-01-2024,Male,4
503,06-01-2024,Female,8
501,06-01-2024,Male,5
501,06-01-2024,Female,14
502,06-01-2024,Male,0
502,06-01-2024,Female,0
335,06-01-2024,Male,5
335,06-01-2024,Female,12
323,06-01-2024,Male,5
323,06-01-2024,Female,17
326,06-01-2024,Male,3
326,06-01-2024,Female,22
327,06-01-2024,Male,3
327,06-01-2024,Female,19
333,06-01-2024,Male,13
333,06-01-2024,Female,41
338,06-01-2024,Male,1
338,06-01-2024,Female,62
328,06-01-2024,Male,4
328,06-01-2024,Female,29
337,06-01-2024,Male,4
337,06-01-2024,Female,30
324,06-01-2024,Male,11
324,06-01-2024,Female,34
332,06-01-2024,Male,2
332,06-01-2024,Female,22
329,06-01-2024,Male,0
329,06-01-2024,Female,10
