school_id,state,timestamp,population
21,ABIA,03-01-2024,9
21,ADAMAWA,03-01-2024,0
21,AKWA IBOM,03-01-2024,4
21,BAUCHI,03-01-2024,0
21,BAYELSA,03-01-2024,1
21,BENUE,03-01-2024,4
21,BORNO,03-01-2024,0
21,CROSS RIVER,03-01-2024,2
21,DELTA,03-01-2024,2
21,EBONYI,03-01-2024,53
21,EDO,03-01-2024,2
21,EKITI,03-01-2024,0
21,ENUGU,03-01-2024,77
21,GOMBE,03-01-2024,0
21,IMO,03-01-2024,20
21,JIGAWA,03-01-2024,0
21,KADUNA,03-01-2024,0
21,KANO,03-01-2024,0
21,KATSINA,03-01-2024,0
21,KEBBI,03-01-2024,0
21,KOGI,03-01-2024,0
21,KWARA,03-01-2024,0
21,LAGOS,03-01-2024,0
21,NASARAWA,03-01-2024,0
21,NIGER,03-01-2024,0
21,OGUN,03-01-2024,0
21,ONDO,03-01-2024,15
21,OSUN,03-01-2024,0
21,OYO,03-01-2024,0
21,PLATEAU,03-01-2024,1
21,RIVERS,03-01-2024,0
21,SOKOTO,03-01-2024,0
21,TARABA,03-01-2024,0
21,YOBE,03-01-2024,0
21,ZAMFARA,03-01-2024,0
21,FCT,03-01-2024,0
21,FOREIGN,03-01-2024,0
14,ABIA,03-01-2024,23
14,ADAMAWA,03-01-2024,0
14,AKWA IBOM,03-01-2024,3
14,BAUCHI,03-01-2024,0
14,BAYELSA,03-01-2024,0
14,BENUE,03-01-2024,1
14,BORNO,03-01-2024,0
14,CROSS RIVER,03-01-2024,4
14,DELTA,03-01-2024,0
14,EBONYI,03-01-2024,94
14,EDO,03-01-2024,1
14,EKITI,03-01-2024,0
14,ENUGU,03-01-2024,88
14,GOMBE,03-01-2024,0
14,IMO,03-01-2024,20
14,JIGAWA,03-01-2024,0
14,KADUNA,03-01-2024,2
14,KANO,03-01-2024,0
14,KATSINA,03-01-2024,0
14,KEBBI,03-01-2024,0
14,KOGI,03-01-2024,0
14,KWARA,03-01-2024,0
14,LAGOS,03-01-2024,0
14,NASARAWA,03-01-2024,0
14,NIGER,03-01-2024,0
14,OGUN,03-01-2024,0
14,ONDO,03-01-2024,1
14,OSUN,03-01-2024,0
14,OYO,03-01-2024,0
14,PLATEAU,03-01-2024,0
14,RIVERS,03-01-2024,1
14,SOKOTO,03-01-2024,0
14,TARABA,03-01-2024,0
14,YOBE,03-01-2024,0
14,ZAMFARA,03-01-2024,0
14,FCT,03-01-2024,0
14,FOREIGN,03-01-2024,1
12,ABIA,03-01-2024,19
12,ADAMAWA,03-01-2024,3
12,AKWA IBOM,03-01-2024,3
12,BAUCHI,03-01-2024,0
12,BAYELSA,03-01-2024,0
12,BENUE,03-01-2024,12
12,BORNO,03-01-2024,0
12,CROSS RIVER,03-01-2024,3
12,DELTA,03-01-2024,1
12,EBONYI,03-01-2024,194
12,EDO,03-01-2024,0
12,EKITI,03-01-2024,0
12,ENUGU,03-01-2024,106
12,GOMBE,03-01-2024,0
12,IMO,03-01-2024,44
12,JIGAWA,03-01-2024,0
12,KADUNA,03-01-2024,0
12,KANO,03-01-2024,0
12,KATSINA,03-01-2024,0
12,KEBBI,03-01-2024,0
12,KOGI,03-01-2024,1
12,KWARA,03-01-2024,1
12,LAGOS,03-01-2024,0
12,NASARAWA,03-01-2024,0
12,NIGER,03-01-2024,0
12,OGUN,03-01-2024,1
12,ONDO,03-01-2024,0
12,OSUN,03-01-2024,2
12,OYO,03-01-2024,0
12,PLATEAU,03-01-2024,0
12,RIVERS,03-01-2024,1
12,SOKOTO,03-01-2024,0
12,TARABA,03-01-2024,0
12,YOBE,03-01-2024,0
12,ZAMFARA,03-01-2024,0
12,FCT,03-01-2024,0
12,FOREIGN,03-01-2024,0
1,ABIA,03-01-2024,3
1,ADAMAWA,03-01-2024,2
1,AKWA IBOM,03-01-2024,0
1,BAUCHI,03-01-2024,0
1,BAYELSA,03-01-2024,0
1,BENUE,03-01-2024,0
1,BORNO,03-01-2024,0
1,CROSS RIVER,03-01-2024,2
1,DELTA,03-01-2024,3
1,EBONYI,03-01-2024,12
1,EDO,03-01-2024,0
1,EKITI,03-01-2024,0
1,ENUGU,03-01-2024,12
1,GOMBE,03-01-2024,0
1,IMO,03-01-2024,2
1,JIGAWA,03-01-2024,0
1,KADUNA,03-01-2024,0
1,KANO,03-01-2024,0
1,KATSINA,03-01-2024,0
1,KEBBI,03-01-2024,0
1,KOGI,03-01-2024,1
1,KWARA,03-01-2024,0
1,LAGOS,03-01-2024,0
1,NASARAWA,03-01-2024,0
1,NIGER,03-01-2024,0
1,OGUN,03-01-2024,0
1,ONDO,03-01-2024,0
1,OSUN,03-01-2024,0
1,OYO,03-01-2024,1
1,PLATEAU,03-01-2024,0
1,RIVERS,03-01-2024,0
1,SOKOTO,03-01-2024,0
1,TARABA,03-01-2024,0
1,YOBE,03-01-2024,0
1,ZAMFARA,03-01-2024,0
