lga_id,lga_name,school_id,school_name,school_type,lat,long
[13],AGUATA,1,URBAN GIRLS'.SEC.SCH. EKWULOBIA,Secondary,,
[13],AGUATA,1,GIRLS' .SEC. SCH. IGBOUKWU,Secondary,,
[13],AGUATA,1,COMM.SEC. SCH. ISUOFIA,Secondary,,
[13],AGUATA,1,AGUATA HIGH SCH.AGUATA ,Secondary,,
[13],AGUATA,1,GIRLS' HIGH SCHOOL UGA,Secondary,,
[13],AGUATA,1,UGA BOYS' SEC. SCH UGA,Secondary,,
[13],AGUATA,1,COMM. SEC. SCH. UGA,Secondary,,
[13],AGUATA,1,PIONEER SEC. SCH. (GSS) UMUCHU,Secondary,,
[13],AGUATA,1,COMM SEC.SCH. UMUCHU,Secondary,,
[13],AGUATA,1,UMUCHU HIGH. SCH. UMUCHU,Secondary,,
[13],AGUATA,1,GOVT. TECH. COLL. UMUCHU,Secondary,,
[13],AGUATA,1,ST. PETER'S SEC. SCH. ACHINA,Secondary,,
[13],AGUATA,1,COMM. SEC. SCH. ACHINA,Secondary,,
[13],AGUATA,1,COMM. SEC. SCH. NKPOLOGWU,Secondary,,
[13],AGUATA,1,COMM SEC. SCH. ORAERI,Secondary,,
[13],AGUATA,1,COMM SEC. SCH. AGULUEZECHUKWU,Secondary,,
[13],AGUATA,1,COMM SEC. SCH. AKPO,Secondary,,
[13],AGUATA,1,CHRIST THE REDEEMER COLLEGE  AMESI,Secondary,,
[13],AGUATA,1,COMM SEC. SCH. (BSS) IGBOUKWU,Secondary,,
[13],AGUATA,1,COMM SEC. SCH. (BSS) EZINIFITE,Secondary,,
[13],AGUATA,1,EZINIFITE HIGH SCHOOL EZINIFITE,Secondary,,
[7],ORUMBA NORTH,1,"COMM. HIGH SCHOOL, NANKA",Secondary,,
[7],ORUMBA NORTH,1,COMM. SEC. SCH. NANKA,Secondary,,
[7],ORUMBA NORTH,1,COMM. SEC. SCH. OKO,Secondary,,
