school_id,timestamp,gender,population
2001,01-01-2023,Male,0
2001,01-01-2023,Female,6
2002,01-01-2023,Male,0
2002,01-01-2023,Female,9
2003,01-01-2023,Male,0
2003,01-01-2023,Female,2
2004,01-01-2023,Male,1
2004,01-01-2023,Female,3
2005,01-01-2023,Male,0
2005,01-01-2023,Female,7
2006,01-01-2023,Male,1
2006,01-01-2023,Female,4
2007,01-01-2023,Male,0
2007,01-01-2023,Female,7
2008,01-01-2023,Male,0
2008,01-01-2023,Female,3
2009,01-01-2023,Male,0
2009,01-01-2023,Female,6
2010,01-01-2023,Male,0
2010,01-01-2023,Female,2
2011,01-01-2023,Male,0
2011,01-01-2023,Female,3
2012,01-01-2023,Male,0
2012,01-01-2023,Female,5
2013,01-01-2023,Male,0
2013,01-01-2023,Female,5
2014,01-01-2023,Male,0
2014,01-01-2023,Female,8
2015,01-01-2023,Male,0
2015,01-01-2023,Female,9
2016,01-01-2023,Male,0
2016,01-01-2023,Female,11
2017,01-01-2023,Male,0
2017,01-01-2023,Female,11
2018,01-01-2023,Male,0
2018,01-01-2023,Female,3
2019,01-01-2023,Male,1
2019,01-01-2023,Female,10
2020,01-01-2023,Male,0
2020,01-01-2023,Female,8
2021,01-01-2023,Male,0
2021,01-01-2023,Female,6
2022,01-01-2023,Male,0
2022,01-01-2023,Female,8
2023,01-01-2023,Male,0
2023,01-01-2023,Female,6
2024,01-01-2023,Male,0
2024,01-01-2023,Female,4
2025,01-01-2023,Male,0
2025,01-01-2023,Female,5
2026,01-01-2023,Male,1
2026,01-01-2023,Female,6
2027,01-01-2023,Male,1
2027,01-01-2023,Female,6
2028,01-01-2023,Male,0
2028,01-01-2023,Female,6
2029,01-01-2023,Male,0
2029,01-01-2023,Female,6
2030,01-01-2023,Male,0
2030,01-01-2023,Female,8
2031,01-01-2023,Male,0
2031,01-01-2023,Female,6
2032,01-01-2023,Male,0
2032,01-01-2023,Female,5
2033,01-01-2023,Male,0
2033,01-01-2023,Female,6
2034,01-01-2023,Male,0
2034,01-01-2023,Female,4
2035,01-01-2023,Male,0
2035,01-01-2023,Female,6
2036,01-01-2023,Male,0
2036,01-01-2023,Female,11
2037,01-01-2023,Male,0
2037,01-01-2023,Female,9
2038,01-01-2023,Male,0
2038,01-01-2023,Female,9
2039,01-01-2023,Male,0
2039,01-01-2023,Female,8
2040,01-01-2023,Male,0
2040,01-01-2023,Female,13
2041,01-01-2023,Male,0
2041,01-01-2023,Female,21
2042,01-01-2023,Male,0
2042,01-01-2023,Female,7
2043,01-01-2023,Male,0
2043,01-01-2023,Female,5
2044,01-01-2023,Male,0
2044,01-01-2023,Female,5
2045,01-01-2023,Male,0
2045,01-01-2023,Female,5
2046,01-01-2023,Male,0
2046,01-01-2023,Female,4
2047,01-01-2023,Male,0
2047,01-01-2023,Female,7
2048,01-01-2023,Male,0
2048,01-01-2023,Female,6
2049,01-01-2023,Male,0
2049,01-01-2023,Female,4
2050,01-01-2023,Male,0
2050,01-01-2023,Female,7
2051,01-01-2023,Male,0
2051,01-01-2023,Female,6
2052,01-01-2023,Male,0
2052,01-01-2023,Female,6
2053,01-01-2023,Male,0
2053,01-01-2023,Female,0
2054,01-01-2023,Male,0
2054,01-01-2023,Female,7
2055,01-01-2023,Male,0
2055,01-01-2023,Female,8
2056,01-01-2023,Male,0
2056,01-01-2023,Female,7
2057,01-01-2023,Male,0
2057,01-01-2023,Female,7
2058,01-01-2023,Male,0
2058,01-01-2023,Female,5
2059,01-01-2023,Male,0
2059,01-01-2023,Female,6
2060,01-01-2023,Male,0
2060,01-01-2023,Female,7
2061,01-01-2023,Male,0
2061,01-01-2023,Female,5
2062,01-01-2023,Male,0
2062,01-01-2023,Female,7
2063,01-01-2023,Male,0
2063,01-01-2023,Female,6
2064,01-01-2023,Male,0
2064,01-01-2023,Female,4
2065,01-01-2023,Male,0
2065,01-01-2023,Female,4
2066,01-01-2023,Male,0
2066,01-01-2023,Female,4
2067,01-01-2023,Male,0
2067,01-01-2023,Female,5
2068,01-01-2023,Male,0
2068,01-01-2023,Female,4
2069,01-01-2023,Male,1
2069,01-01-2023,Female,7
2070,01-01-2023,Male,0
2070,01-01-2023,Female,6
2071,01-01-2023,Male,0
2071,01-01-2023,Female,3
2072,01-01-2023,Male,0
2072,01-01-2023,Female,4
2073,01-01-2023,Male,0
2073,01-01-2023,Female,5
2074,01-01-2023,Male,0
2074,01-01-2023,Female,3
2075,01-01-2023,Male,5
2075,01-01-2023,Female,35
2076,01-01-2023,Male,2
2076,01-01-2023,Female,29
2077,01-01-2023,Male,1
2077,01-01-2023,Female,14
2078,01-01-2023,Male,0
2078,01-01-2023,Female,13
2079,01-01-2023,Male,1
2079,01-01-2023,Female,36
2080,01-01-2023,Male,1
2080,01-01-2023,Female,5
2081,01-01-2023,Male,1
2081,01-01-2023,Female,2
2082,01-01-2023,Male,2
2082,01-01-2023,Female,3
2083,01-01-2023,Male,3
2083,01-01-2023,Female,3
2084,01-01-2023,Male,1
2084,01-01-2023,Female,8
2085,01-01-2023,Male,2
2085,01-01-2023,Female,1
2086,01-01-2023,Male,1
2086,01-01-2023,Female,2
2087,01-01-2023,Male,0
2087,01-01-2023,Female,9
2088,01-01-2023,Male,0
2088,01-01-2023,Female,10
2089,01-01-2023,Male,0
2089,01-01-2023,Female,9
2090,01-01-2023,Male,0
2090,01-01-2023,Female,8
2091,01-01-2023,Male,0
2091,01-01-2023,Female,10
2092,01-01-2023,Male,1
2092,01-01-2023,Female,9
2093,01-01-2023,Male,1
2093,01-01-2023,Female,9
2094,01-01-2023,Male,0
2094,01-01-2023,Female,11
2095,01-01-2023,Male,1
2095,01-01-2023,Female,7
2096,01-01-2023,Male,0
2096,01-01-2023,Female,7
2097,01-01-2023,Male,2
2097,01-01-2023,Female,3
2098,01-01-2023,Male,0
2098,01-01-2023,Female,0
2099,01-01-2023,Male,0
2099,01-01-2023,Female,6
2100,01-01-2023,Male,1
2100,01-01-2023,Female,3
2101,01-01-2023,Male,0
2101,01-01-2023,Female,0
2102,01-01-2023,Male,5
2102,01-01-2023,Female,1
2103,01-01-2023,Male,4
2103,01-01-2023,Female,2
2104,01-01-2023,Male,2
2104,01-01-2023,Female,4
2105,01-01-2023,Male,0
2105,01-01-2023,Female,20
2106,01-01-2023,Male,0
2106,01-01-2023,Female,24
2107,01-01-2023,Male,0
2107,01-01-2023,Female,55
2108,01-01-2023,Male,2
2108,01-01-2023,Female,8
2109,01-01-2023,Male,1
2109,01-01-2023,Female,5
2110,01-01-2023,Male,1
2110,01-01-2023,Female,6
2111,01-01-2023,Male,1
2111,01-01-2023,Female,9
2112,01-01-2023,Male,2
2112,01-01-2023,Female,9
2113,01-01-2023,Male,0
2113,01-01-2023,Female,5
2114,01-01-2023,Male,0
2114,01-01-2023,Female,6
2115,01-01-2023,Male,1
2115,01-01-2023,Female,10
2116,01-01-2023,Male,0
2116,01-01-2023,Female,5
2117,01-01-2023,Male,0
2117,01-01-2023,Female,7
2118,01-01-2023,Male,1
2118,01-01-2023,Female,9
2119,01-01-2023,Male,1
2119,01-01-2023,Female,6
2120,01-01-2023,Male,1
2120,01-01-2023,Female,4
2121,01-01-2023,Male,0
2121,01-01-2023,Female,8
2122,01-01-2023,Male,1
2122,01-01-2023,Female,5
2123,01-01-2023,Male,0
2123,01-01-2023,Female,16
2124,01-01-2023,Male,0
2124,01-01-2023,Female,9
2125,01-01-2023,Male,0
2125,01-01-2023,Female,8
2126,01-01-2023,Male,0
2126,01-01-2023,Female,7
2127,01-01-2023,Male,2
2127,01-01-2023,Female,2
2128,01-01-2023,Male,2
2128,01-01-2023,Female,15
2129,01-01-2023,Male,0
2129,01-01-2023,Female,9
2130,01-01-2023,Male,1
2130,01-01-2023,Female,7
2131,01-01-2023,Male,0
2131,01-01-2023,Female,9
2132,01-01-2023,Male,1
2132,01-01-2023,Female,3
2133,01-01-2023,Male,4
2133,01-01-2023,Female,2
2134,01-01-2023,Male,1
2134,01-01-2023,Female,6
2135,01-01-2023,Male,4
2135,01-01-2023,Female,5
2136,01-01-2023,Male,1
2136,01-01-2023,Female,3
2137,01-01-2023,Male,0
2137,01-01-2023,Female,1
2138,01-01-2023,Male,2
2138,01-01-2023,Female,5
2139,01-01-2023,Male,0
2139,01-01-2023,Female,10
2140,01-01-2023,Male,0
2140,01-01-2023,Female,0
2141,01-01-2023,Male,1
2141,01-01-2023,Female,5
2142,01-01-2023,Male,2
2142,01-01-2023,Female,0
2143,01-01-2023,Male,4
2143,01-01-2023,Female,4
2144,01-01-2023,Male,2
2144,01-01-2023,Female,3
2145,01-01-2023,Male,3
2145,01-01-2023,Female,1
2146,01-01-2023,Male,4
2146,01-01-2023,Female,0
2147,01-01-2023,Male,3
2147,01-01-2023,Female,0
2148,01-01-2023,Male,2
2148,01-01-2023,Female,0
2149,01-01-2023,Male,3
2149,01-01-2023,Female,1
2150,01-01-2023,Male,3
2150,01-01-2023,Female,0
2151,01-01-2023,Male,1
2151,01-01-2023,Female,0
2152,01-01-2023,Male,1
2152,01-01-2023,Female,0
2153,01-01-2023,Male,2
2153,01-01-2023,Female,0
2154,01-01-2023,Male,1
2154,01-01-2023,Female,0
2155,01-01-2023,Male,2
2155,01-01-2023,Female,0
2156,01-01-2023,Male,0
2156,01-01-2023,Female,5
2157,01-01-2023,Male,0
2157,01-01-2023,Female,0
2158,01-01-2023,Male,2
2158,01-01-2023,Female,1
2159,01-01-2023,Male,2
2159,01-01-2023,Female,0
2160,01-01-2023,Male,2
2160,01-01-2023,Female,0
2161,01-01-2023,Male,1
